iso_code,date,value,country
SYC,2020,7.4,Seychelles
TUN,2020,8.6,Tunisia
MUS,2020,8.7,Mauritius
DZA,2020,9.3,Algeria
CPV,2020,9.7,Cabo Verde
SYC,2000,10.9,Seychelles
STP,2020,11.8,Sao Tome
MUS,2000,12.7,Mauritius
MAR,2020,12.9,Morocco
TUN,2000,12.9,Tunisia
GHA,2020,14.2,Ghana
GAB,2020,14.4,Gabon
GMB,2020,16.1,Gambia
SEN,2020,17.2,Senegal
CIV,2020,17.8,Cote d'Ivoire
CPV,2000,18.0,Cabo Verde
COG,2020,18.0,Congo Republic
NAM,2020,18.4,Namibia
KEN,2020,19.4,Kenya
GNQ,2020,19.7,Equatorial Guinea
LBY,2000,20.5,Libya
DZA,2000,22.1,Algeria
EGY,2020,22.3,Egypt
COM,2020,22.6,Comoros
SWZ,2020,22.6,Eswatini
BWA,2020,22.8,Botswana
ZWE,2020,23.0,Zimbabwe
ZAF,2020,23.2,South Africa
TGO,2020,23.8,Togo
MRT,2020,24.2,Mauritania
MAR,2000,25.2,Morocco
SEN,2000,25.4,Senegal
BFA,2020,25.5,Burkina Faso
MLI,2020,25.7,Mali
GAB,2000,25.8,Gabon
SLE,2020,26.8,Sierra Leone
EGY,2000,26.9,Egypt
CMR,2020,27.2,Cameroon
SOM,2020,27.4,Somalia
UGA,2020,27.9,Uganda
LBR,2020,28.0,Liberia
GNB,2020,28.0,Guinea-Bissau
ZAF,2000,28.1,South Africa
GIN,2020,29.4,Guinea
GMB,2000,29.8,Gambia
DJI,2000,30.0,Djibouti
NAM,2000,30.3,Namibia
SSD,2020,30.6,South Sudan
STP,2000,31.1,Sao Tome
BEN,2020,31.3,Benin
BWA,2000,31.5,Botswana
SOM,2000,31.9,Somalia
TZA,2020,32.0,Tanzania
LSO,2020,32.1,Lesotho
ZMB,2020,32.3,Zambia
SSA,2020,32.3573593978165,Sub-Saharan Africa
ZWE,2000,32.4,Zimbabwe
RWA,2020,32.6,Rwanda
GHA,2000,33.3,Ghana
CIV,2000,33.6,Cote d'Ivoire
SDN,2020,33.7,Sudan
GNB,2000,33.9,Guinea-Bissau
DJI,2020,34.0,Djibouti
GIN,2000,34.2,Guinea
TCD,2020,35.0,Chad
TGO,2000,35.2,Togo
NGA,2020,35.3,Nigeria
ETH,2020,35.3,Ethiopia
COG,2000,36.4,Congo Republic
BEN,2000,36.8,Benin
SWZ,2000,36.8,Eswatini
MWI,2020,37.0,Malawi
CMR,2000,37.3,Cameroon
AGO,2020,37.7,Angola
MOZ,2020,37.8,Mozambique
SLE,2000,38.7,Sierra Leone
SSD,2000,38.9,South Sudan
KEN,2000,38.9,Kenya
GNQ,2000,39.3,Equatorial Guinea
MLI,2000,40.0,Mali
CAF,2020,40.1,Central African Rep.
MDG,2020,40.2,Madagascar
MRT,2000,40.4,Mauritania
COD,2020,40.8,DR Congo
SDN,2000,40.8,Sudan
LSO,2000,41.0,Lesotho
BFA,2000,41.5,Burkina Faso
NGA,2000,42.3,Nigeria
COM,2000,42.4,Comoros
TCD,2000,42.5,Chad
CAF,2000,43.4,Central African Rep.
LBY,2020,43.5,Libya
SSA,2000,43.8501128663706,Sub-Saharan Africa
UGA,2000,44.0,Uganda
LBR,2000,45.1,Liberia
NER,2020,46.7,Niger
TZA,2000,47.7,Tanzania
ERI,2000,47.7,Eritrea
COD,2000,47.8,DR Congo
AGO,2000,47.8,Angola
RWA,2000,49.1,Rwanda
ERI,2020,49.1,Eritrea
MOZ,2000,50.5,Mozambique
NER,2000,52.1,Niger
ZMB,2000,54.0,Zambia
MDG,2000,55.2,Madagascar
MWI,2000,55.7,Malawi
ETH,2000,57.5,Ethiopia
BDI,2020,57.6,Burundi
BDI,2000,62.3,Burundi
