Country,Creditor,Creditor Type,US$,source
Algeria,African Dev. Bank         ,Multilateral,717117549.5,International Debt Statistics (IDS) Database (December 2025)
Algeria,Belgium,Bilateral,15446365.2,International Debt Statistics (IDS) Database (December 2025)
Algeria,Canada,Bilateral,85595.0,International Debt Statistics (IDS) Database (December 2025)
Algeria,China,Bilateral,64137564.0,International Debt Statistics (IDS) Database (December 2025)
Algeria,France,Bilateral,19218611.1,International Debt Statistics (IDS) Database (December 2025)
Algeria,"Germany, Fed. Rep. of",Bilateral,38439.3,International Debt Statistics (IDS) Database (December 2025)
Algeria,Italy,Bilateral,31591910.1,International Debt Statistics (IDS) Database (December 2025)
Algeria,Japan,Bilateral,2821576.8,International Debt Statistics (IDS) Database (December 2025)
Algeria,Saudi Arabia,Bilateral,1093600.0,International Debt Statistics (IDS) Database (December 2025)
Angola,African Dev. Bank         ,Multilateral,1295689052.5,International Debt Statistics (IDS) Database (December 2025)
Angola,African Export-Import Bank,Multilateral,116254808.6,International Debt Statistics (IDS) Database (December 2025)
Angola,Austria,Private,149829280.1,International Debt Statistics (IDS) Database (December 2025)
Angola,Belgium,Bilateral,0.0,International Debt Statistics (IDS) Database (December 2025)
Angola,Belgium,Private,48062000.0,International Debt Statistics (IDS) Database (December 2025)
Angola,Bondholders,Private,11042413000.0,International Debt Statistics (IDS) Database (December 2025)
Angola,Canada,Bilateral,244115000.0,International Debt Statistics (IDS) Database (December 2025)
Angola,Canada,Private,0.0,International Debt Statistics (IDS) Database (December 2025)
Angola,China,Bilateral,2596005403.6,International Debt Statistics (IDS) Database (December 2025)
Angola,China,Private,11805826000.0,International Debt Statistics (IDS) Database (December 2025)
Angola,Egypt,Private,76550000.0,International Debt Statistics (IDS) Database (December 2025)
Angola,European Investment Bank,Multilateral,4196117.1,International Debt Statistics (IDS) Database (December 2025)
Angola,France,Bilateral,249162503.7,International Debt Statistics (IDS) Database (December 2025)
Angola,France,Private,232639301.3,International Debt Statistics (IDS) Database (December 2025)
Angola,"Germany, Fed. Rep. of",Private,656717517.2,International Debt Statistics (IDS) Database (December 2025)
Angola,India,Bilateral,2500000.0,International Debt Statistics (IDS) Database (December 2025)
Angola,International Fund for Agricultural Dev.,Multilateral,7340973.8,International Debt Statistics (IDS) Database (December 2025)
Angola,Ireland,Private,657681000.0,International Debt Statistics (IDS) Database (December 2025)
Angola,Israel,Private,2731933000.0,International Debt Statistics (IDS) Database (December 2025)
Angola,Italy,Bilateral,14961198.9,International Debt Statistics (IDS) Database (December 2025)
Angola,Italy,Private,559164030.3,International Debt Statistics (IDS) Database (December 2025)
Angola,Japan,Bilateral,265015376.9,International Debt Statistics (IDS) Database (December 2025)
Angola,Japan,Private,195688000.3,International Debt Statistics (IDS) Database (December 2025)
Angola,"Korea, Republic of",Bilateral,212779000.0,International Debt Statistics (IDS) Database (December 2025)
Angola,Luxembourg,Private,30763906.8,International Debt Statistics (IDS) Database (December 2025)
Angola,Mauritius,Private,21874039.5,International Debt Statistics (IDS) Database (December 2025)
Angola,Multiple Lenders,Private,1580000000.0,International Debt Statistics (IDS) Database (December 2025)
Angola,Netherlands,Bilateral,1684056.9,International Debt Statistics (IDS) Database (December 2025)
Angola,Netherlands,Private,620615788.1,International Debt Statistics (IDS) Database (December 2025)
Angola,OPEC Fund for International Dev.,Multilateral,506000.0,International Debt Statistics (IDS) Database (December 2025)
Angola,Poland,Bilateral,53583677.8,International Debt Statistics (IDS) Database (December 2025)
Angola,Portugal,Bilateral,251441000.0,International Debt Statistics (IDS) Database (December 2025)
Angola,Portugal,Private,543516031.2,International Debt Statistics (IDS) Database (December 2025)
Angola,Serbia,Bilateral,7546000.0,International Debt Statistics (IDS) Database (December 2025)
Angola,South Africa,Bilateral,197355626.2,International Debt Statistics (IDS) Database (December 2025)
Angola,South Africa,Private,3931000.0,International Debt Statistics (IDS) Database (December 2025)
Angola,Spain,Bilateral,15175000.0,International Debt Statistics (IDS) Database (December 2025)
Angola,Spain,Private,707782446.6,International Debt Statistics (IDS) Database (December 2025)
Angola,United Arab Emirates,Private,227211585.6,International Debt Statistics (IDS) Database (December 2025)
Angola,United Kingdom,Private,3900336202.5,International Debt Statistics (IDS) Database (December 2025)
Angola,United States,Bilateral,5467000.0,International Debt Statistics (IDS) Database (December 2025)
Angola,United States,Private,1643000.0,International Debt Statistics (IDS) Database (December 2025)
Angola,World Bank-IBRD                         ,Multilateral,4491170000.0,International Debt Statistics (IDS) Database (December 2025)
Angola,World Bank-IDA                         ,Multilateral,283421000.0,International Debt Statistics (IDS) Database (December 2025)
Benin,African Dev. Bank         ,Multilateral,606395215.7,International Debt Statistics (IDS) Database (December 2025)
Benin,Arab Bank for Economic Dev. in Africa (BADEA),Multilateral,91756000.0,International Debt Statistics (IDS) Database (December 2025)
