Name,year,Bilateral (China),Bilateral (excl. China),Multilateral,Private (China),Private (excl. China),source
Africa,1990,1647.0,103883.0,49636.1,18.0,71149.2,International Debt Statistics (IDS) Database (December 2025)
Africa,1991,1667.7,108451.1,54456.3,32.1,65648.3,International Debt Statistics (IDS) Database (December 2025)
Africa,1992,1608.0,109829.2,56505.1,30.1,57955.5,International Debt Statistics (IDS) Database (December 2025)
Africa,1993,1753.1,109225.1,60498.0,14.7,56349.5,International Debt Statistics (IDS) Database (December 2025)
Africa,1994,1506.6,122416.0,67323.3,12.1,62237.9,International Debt Statistics (IDS) Database (December 2025)
Africa,1995,1564.4,131479.0,72257.4,10.5,62531.0,International Debt Statistics (IDS) Database (December 2025)
Africa,1996,1575.7,130315.5,72369.5,8.2,57191.3,International Debt Statistics (IDS) Database (December 2025)
Africa,1997,1621.0,123502.3,70193.0,5.7,58195.6,International Debt Statistics (IDS) Database (December 2025)
Africa,1998,1750.5,128583.0,75085.0,4.3,51946.2,International Debt Statistics (IDS) Database (December 2025)
Africa,1999,1704.8,115553.3,73854.5,0.9,45879.4,International Debt Statistics (IDS) Database (December 2025)
Africa,2000,2669.9,119950.1,71633.7,1.0,41555.4,International Debt Statistics (IDS) Database (December 2025)
Africa,2001,2640.9,111076.8,71064.5,7.2,39961.9,International Debt Statistics (IDS) Database (December 2025)
Africa,2002,2745.9,116478.1,79207.4,6.1,45682.5,International Debt Statistics (IDS) Database (December 2025)
Africa,2003,2869.0,124872.1,88632.7,5.6,48799.7,International Debt Statistics (IDS) Database (December 2025)
Africa,2004,3130.1,122923.2,95562.7,6.2,49083.9,International Debt Statistics (IDS) Database (December 2025)
Africa,2005,3308.2,96215.9,91425.3,175.3,49737.2,International Debt Statistics (IDS) Database (December 2025)
Africa,2006,4185.5,69890.7,61465.0,317.0,44386.6,International Debt Statistics (IDS) Database (December 2025)
Africa,2007,5112.3,72945.4,70292.3,352.9,46621.0,International Debt Statistics (IDS) Database (December 2025)
Africa,2008,6423.1,70579.8,72902.8,385.7,51461.1,International Debt Statistics (IDS) Database (December 2025)
Africa,2009,8244.4,74224.9,80592.9,1332.6,53454.3,International Debt Statistics (IDS) Database (December 2025)
Africa,2010,11348.5,63149.5,85284.6,5297.5,64563.5,International Debt Statistics (IDS) Database (December 2025)
Africa,2011,13854.7,63032.5,91984.1,7092.9,74725.3,International Debt Statistics (IDS) Database (December 2025)
Africa,2012,17599.7,60359.9,98257.1,7100.5,97679.7,International Debt Statistics (IDS) Database (December 2025)
Africa,2013,23872.0,68603.2,109203.3,9115.9,110812.5,International Debt Statistics (IDS) Database (December 2025)
Africa,2014,31551.8,65567.0,112533.6,11145.1,126821.7,International Debt Statistics (IDS) Database (December 2025)
Africa,2015,37131.9,70556.6,116780.2,10915.8,130932.3,International Debt Statistics (IDS) Database (December 2025)
Africa,2016,44259.3,74594.8,128326.1,19408.3,145853.2,International Debt Statistics (IDS) Database (December 2025)
Africa,2017,51375.9,80273.1,153103.2,20840.4,182918.9,International Debt Statistics (IDS) Database (December 2025)
Africa,2018,59394.1,82261.7,160424.2,21876.0,209366.7,International Debt Statistics (IDS) Database (December 2025)
Africa,2019,64561.9,84090.0,176947.7,24091.2,240626.5,International Debt Statistics (IDS) Database (December 2025)
Africa,2020,67131.5,89654.5,206222.5,24248.5,253728.8,International Debt Statistics (IDS) Database (December 2025)
Africa,2021,67686.0,88017.7,213221.7,24239.5,265996.2,International Debt Statistics (IDS) Database (December 2025)
Africa,2022,65675.8,87109.7,225109.8,24299.0,260553.9,International Debt Statistics (IDS) Database (December 2025)
Africa,2023,64699.5,91758.5,248792.0,22744.2,267783.2,International Debt Statistics (IDS) Database (December 2025)
Africa,2024,62153.2,86106.3,264279.9,20064.4,274664.8,International Debt Statistics (IDS) Database (December 2025)
