year,Bilateral (China),Bilateral (excl. China),Multilateral,Private (China),Private (excl. China),source
2009,679.53,4428.54,5162.21,42.56,8230.53,World Bank IDS
2010,620.35,4802.21,4508.31,172.7,7181.48,World Bank IDS
2011,794.63,4724.76,5073.73,642.5,8850.46,World Bank IDS
2012,938.01,5165.27,5027.9,1014.19,11203.39,World Bank IDS
2013,1374.72,5262.63,5680.15,1442.24,15474.52,World Bank IDS
2014,1727.42,5388.73,5916.52,1675.65,16205.45,World Bank IDS
2015,1762.74,5701.6,6068.3,1995.35,23322.64,World Bank IDS
2016,2306.69,8070.54,6526.21,3661.06,15776.45,World Bank IDS
2017,2724.81,7266.63,7284.83,3294.61,17774.62,World Bank IDS
2018,3969.78,6689.94,10172.84,3582.64,29986.56,World Bank IDS
2019,5569.8,7339.45,10508.15,3682.43,25051.85,World Bank IDS
2020,5086.26,7893.11,10358.82,2432.39,30882.03,World Bank IDS
2021,4994.94,10661.88,14619.02,1568.99,37004.77,World Bank IDS
2022,6782.77,6642.01,14064.96,3101.54,38073.39,World Bank IDS
2023,6967.96,7098.19,17346.86,4678.79,33029.21,World Bank IDS
2024,7564.73,7089.54,22258.82,4887.96,42571.16,World Bank IDS
2025,12485.06,12604.04,25582.25,6229.61,44407.26,World Bank IDS
2026,10789.07,10683.17,24739.63,5253.96,41235.07,World Bank IDS
2027,11280.77,7617.17,22939.85,4966.38,40948.13,World Bank IDS
2028,10959.71,7408.3,22765.78,2778.96,33553.2,World Bank IDS
2029,6984.62,7194.0,24691.04,1829.93,27234.73,World Bank IDS
2030,6090.65,7526.22,22178.69,1602.0,26181.75,World Bank IDS
