year,Total
2009,220294800000.0
2010,232555300000.00003
2011,253312200000.0
2012,284675000000.0
2013,325069600000.0
2014,349457800000.0
2015,366490400000.0
2016,412577200000.0
2017,488239100000.0
2018,529410200000.00006
2019,580422200000.0
2020,625413200000.0
