date,Africa (median),Algeria,Angola,Benin,Botswana,Burkina Faso,Burundi,Cabo Verde,Cameroon,Central African Republic,Chad,Comoros,Congo Republic,Cote d'Ivoire,DR Congo,Djibouti,Egypt,Equatorial Guinea,Eritrea,Eswatini,Ethiopia,Gabon,Gambia,Ghana,Guinea,Guinea-Bissau,Kenya,Lesotho,Liberia,Libya,Madagascar,Malawi,Mali,Mauritania,Mauritius,Morocco,Mozambique,Namibia,Niger,Nigeria,Rwanda,Sao Tome and Principe,Senegal,Seychelles,Sierra Leone,Somalia,South Africa,South Sudan,Sudan,Tanzania,Togo,Tunisia,Uganda,Zambia,Zimbabwe,source
2018-01-31,4.175,3.6,22.72,0.9,3.2,2.0,6.1,1.0,0.3,3.0,2.0,4.05,1.9,0.2,52.41,-0.4,17.1,,,4.6,16.7,1.7,6.4,10.3,9.6,-0.8,4.83,5.3,15.4,28.0,10.3,8.1,1.7,2.5,6.2,1.8,3.84,3.6,7.3,15.13,0.1,7.7,0.4,4.5,14.7,3.83,4.3,125.0,52.4,4.0,-0.1,6.6,3.0,6.2,3.52,Price inflation data from the WFP VAM resource centre
2018-02-28,4.0,3.6,21.47,1.5,3.2,2.8,-1.3,0.8,0.5,2.2,0.9,2.45,1.7,-0.6,48.85,-0.2,14.4,,,4.0,16.1,3.0,6.37,10.6,9.7,0.1,4.46,5.2,17.8,21.7,9.7,7.8,2.4,2.7,7.0,1.8,2.93,3.5,6.8,14.33,-1.3,7.7,1.5,4.88,14.4,5.63,4.0,112.7,54.3,4.1,-0.4,6.8,2.1,6.1,2.98,Price inflation data from the WFP VAM resource centre
2018-03-31,3.9,3.2,20.9,1.0,2.9,1.5,-2.6,1.0,0.4,1.8,,-0.07,1.4,0.6,46.47,-2.4,13.3,,,4.0,15.5,3.4,6.53,10.4,9.7,-1.0,4.18,4.8,19.5,16.9,9.0,9.9,2.4,3.3,6.7,2.5,3.05,3.5,7.9,13.34,-1.4,7.2,0.1,4.66,14.9,5.78,3.8,161.2,55.6,3.9,1.0,7.2,2.0,7.1,2.68,Price inflation data from the WFP VAM resource centre
2018-04-30,3.715,3.4,20.22,1.9,3.5,2.4,-1.7,1.2,0.3,1.5,1.3,0.45,1.2,0.1,43.23,-0.6,13.1,,,4.8,14.0,3.5,6.59,9.5,9.6,0.8,3.73,3.8,21.4,14.3,8.5,9.7,3.1,3.3,3.7,2.7,2.33,3.6,8.3,12.48,-0.1,6.6,1.1,4.18,15.1,5.68,4.6,186.6,57.7,3.8,1.9,7.5,1.8,7.4,2.71,Price inflation data from the WFP VAM resource centre
2018-05-31,3.8,5.7,19.84,0.8,3.2,1.6,-1.0,1.1,0.4,0.8,0.9,2.11,,-1.0,38.85,0.0,11.4,,,4.8,15.3,4.5,6.53,9.8,9.8,0.7,3.95,3.8,21.3,14.5,8.3,11.6,3.4,3.3,2.4,2.6,3.26,3.8,9.6,11.61,1.8,7.4,0.5,3.59,16.0,5.51,4.4,83.9,60.9,3.6,-0.3,7.5,1.6,7.8,2.71,Price inflation data from the WFP VAM resource centre
2018-06-30,4.0,6.5,19.52,0.3,3.1,3.6,-0.4,1.5,0.5,-1.6,1.7,2.61,,0.4,29.81,-0.6,14.4,,,4.9,16.8,5.4,6.46,10.0,9.9,0.7,4.28,4.0,24.6,15.3,8.5,8.6,2.6,3.6,1.0,2.5,4.4,4.0,6.1,11.23,1.4,6.6,-0.8,3.01,16.6,3.96,4.5,88.5,63.86,3.4,-0.1,7.7,2.1,7.4,2.91,Price inflation data from the WFP VAM resource centre
2018-07-31,4.5,6.0,19.01,0.7,3.0,2.8,-0.8,2.0,0.5,-1.4,5.0,3.5,,0.2,15.09,0.3,13.5,,,4.9,15.3,5.5,6.61,9.6,10.3,-0.3,4.35,4.1,26.1,15.9,8.7,9.0,1.9,3.4,1.7,2.1,4.73,4.5,6.3,11.14,0.6,5.4,-0.3,3.13,17.7,3.1,5.2,123.0,63.94,3.3,1.6,7.3,3.1,7.8,4.29,Price inflation data from the WFP VAM resource centre
2018-08-31,4.6,4.6,18.56,-0.9,2.9,2.1,-2.3,1.0,0.3,-1.5,3.9,1.68,,0.9,11.07,0.7,14.2,,,4.9,14.2,5.5,6.68,9.8,9.9,0.1,4.04,4.7,26.1,14.9,8.8,9.3,2.3,2.9,0.9,1.7,5.02,4.4,6.9,11.23,0.6,7.6,0.3,2.78,18.2,3.16,4.9,74.8,66.82,3.3,0.4,7.3,3.8,8.1,4.83,Price inflation data from the WFP VAM resource centre
2018-09-30,4.9,3.8,19.21,2.1,2.9,2.0,-5.6,1.1,0.5,-0.3,5.8,-0.53,,0.5,10.73,0.6,16.0,,,5.1,11.9,5.4,6.57,9.8,9.9,0.2,5.7,5.0,26.3,14.6,8.8,9.5,1.2,3.0,1.9,1.1,4.89,4.8,5.1,11.28,-1.1,9.3,0.9,3.27,17.8,3.46,4.9,49.1,68.64,3.4,0.9,7.4,3.7,7.9,5.39,Price inflation data from the WFP VAM resource centre
2018-10-31,5.1,4.5,18.04,3.1,3.5,2.1,-8.4,1.6,1.3,0.3,5.8,2.39,,0.8,10.71,0.6,17.7,,,5.2,12.1,6.3,6.55,9.5,9.8,1.6,5.53,5.3,26.6,7.1,8.5,9.7,1.4,2.7,2.8,2.0,4.75,5.1,3.9,11.26,-3.4,10.2,0.1,3.43,16.1,3.98,5.1,41.8,68.44,3.2,1.2,7.5,3.0,8.3,20.85,Price inflation data from the WFP VAM resource centre
2018-11-30,4.27,4.0,18.36,-1.0,3.8,0.2,-7.3,1.7,2.1,2.9,5.8,1.23,,1.8,10.47,1.8,15.7,,,5.3,9.3,6.7,6.55,9.3,9.8,1.2,5.58,5.6,27.1,2.2,6.6,13.1,2.9,2.7,2.8,1.3,4.27,5.6,3.7,11.28,-1.0,9.6,0.5,3.69,16.6,3.99,5.1,33.5,68.94,3.0,1.8,7.4,2.9,7.8,31.01,Price inflation data from the WFP VAM resource centre
2018-12-31,4.2,2.7,18.6,-0.2,3.5,0.3,-5.6,1.0,2.3,4.6,4.3,0.63,,1.0,9.05,2.0,12.0,1.3,-14.4,5.2,10.4,6.3,6.41,9.4,9.9,2.4,5.71,4.2,28.5,-1.8,5.5,9.9,1.7,3.2,1.8,1.9,3.52,5.1,4.3,11.44,0.1,9.0,1.3,3.38,14.3,3.22,4.5,40.1,72.94,3.3,2.0,7.5,2.3,7.9,42.09,Price inflation data from the WFP VAM resource centre
2019-01-31,3.78,2.6,18.2,1.0,3.5,-1.4,-3.8,0.9,2.5,4.8,2.5,-0.5,,2.1,7.37,2.2,12.7,,,5.0,10.9,5.8,6.08,9.0,9.7,2.3,4.7,6.2,23.3,-4.0,6.2,8.8,-0.1,2.5,0.5,-0.5,3.78,4.7,-1.7,11.37,0.2,8.4,0.6,2.35,14.4,3.18,4.0,72.3,43.45,3.0,2.5,7.1,2.8,7.9,56.9,Price inflation data from the WFP VAM resource centre
