year,indicator,Algeria,Angola,Benin,Botswana,Burkina Faso,Burundi,Cabo Verde,Cameroon,Central African Republic,Chad,Comoros,Congo Republic,Cote d'Ivoire,DR Congo,Djibouti,Egypt,Equatorial Guinea,Eritrea,Eswatini,Ethiopia,Gabon,Gambia,Ghana,Guinea,Guinea-Bissau,Kenya,Lesotho,Liberia,Libya,Madagascar,Malawi,Mali,Mauritania,Mauritius,Morocco,Mozambique,Namibia,Niger,Nigeria,Rwanda,Sao Tome and Principe,Senegal,Seychelles,Sierra Leone,Somalia,South Africa,South Sudan,Sudan,Tanzania,Togo,Tunisia,Uganda,Zambia,Zimbabwe
2008,Government Expenditure,58971879465.3,48632324421.3,1373846906.8,6189992401.0,1815124901.8,949004605.6,500638768.7,4415294339.4,456572269.3,1512876547.0,134989244.1,2673709953.4,4960202264.5,3158597119.0,555779022.4,70532831381.3,4574284875.4,925142425.0,1081378692.5,8352134237.5,2532854477.2,162014035.9,5289848553.1,1105873703.6,230968236.6,11130519815.7,1138938634.8,600427554.9,28075236590.6,1833598549.6,1289167239.0,2194439666.9,1284749477.4,2182870196.7,25544587409.2,2164174240.8,2792166216.3,1222871495.6,42851414512.4,1147577771.7,113361317.8,3262396071.4,293723940.7,327749458.4,,88347211650.4,,10555331974.4,6346343424.8,519637963.8,9528752354.5,3004980177.0,2965146220.1,568773352.2
2008,ODA,284658782.6,384887256.4,614333332.3,866771452.3,1033563010.4,744318101.2,205376028.3,552510872.1,364847058.9,340967033.4,40950215.0,462189164.5,592394015.6,2446209014.2,196445493.7,2133134468.3,37199285.3,231280410.6,70741220.2,5625682227.9,55104553.4,84972981.1,1015777873.9,552873021.9,151163911.3,1953997623.3,184511926.9,2056654004.7,58487746.4,921911177.8,770904173.7,1143643597.6,573906558.8,104591337.7,1312473798.0,1567710909.1,237843282.6,612714426.1,1167402944.6,922317200.4,93655190.5,985410579.0,8167775.9,306376658.6,,1196596290.2,,2119700488.8,2946785490.5,302438302.3,324148354.1,1701493975.1,948277940.7,1372141657.1
2008,Remittances,90815897.8,85608836.0,200554881.2,56126415.8,103050630.1,5213382.8,143504035.2,162882911.6,0.0,0.0,98698821.6,20626732.8,202373744.8,20351617.0,42308509.4,10983204767.3,0.0,0.0,90573581.7,655991047.2,17750048.7,58197522.3,97620250.3,96841718.0,55100968.4,956385845.2,734244065.3,95598497.3,0.0,341681629.0,13900431.8,511387293.6,0.0,609865.7,6225967476.4,91041092.4,15698901.6,93687087.7,17325315163.3,0.0,5941331.5,1370258260.1,3447933.2,18235771.0,,841112501.7,,1313751393.6,46543509.9,310026944.5,1691914891.6,749101927.1,58013651.2,0.0
2008,FDI,2312294729.7,1751069072.7,46515700.6,624418174.5,34291524.7,5482248.1,195216157.9,21022943.6,164102008.2,359736776.2,4530019.2,1850136580.7,474597899.9,2390691984.5,317580702.0,11994609613.9,-920557409.0,62026792.2,106833663.0,184122949.8,596001687.8,63568001.1,2101672694.0,601136464.0,7386158.9,136991483.5,14038223.0,466355509.9,3240709995.6,1234544431.8,162915666.7,316132735.8,432547609.6,363514312.9,2227210656.6,504507512.7,868576843.1,281817974.2,7394014064.4,100848558.3,156739036.0,421353223.0,196097995.0,42882611.1,,10609246947.0,,1365367469.2,1748566445.0,46622044.9,2225695668.4,754630623.3,798486301.0,115548771.1
2009,Government Expenditure,66929512423.0,41916689433.4,1642240816.4,5756342274.1,2163232036.0,909200471.7,546042714.5,4186135611.0,468591870.2,2023439861.9,125850375.0,3017844646.0,5050213281.5,3907292781.7,607439418.6,73460545410.7,9285666488.1,721713500.3,1112840836.6,8382538355.6,2954895376.3,214733323.5,5529128916.5,1754500590.1,224136295.6,12324695607.5,1404499817.9,694346367.9,39428778529.4,1401701054.8,1365120504.5,2777978863.5,1274260712.8,2463523382.7,26488316475.6,2776651290.3,3152320790.7,1306939935.8,49827987110.4,1211117232.5,198047711.6,3380997053.9,345699879.8,365711889.4,,95174842455.1,,9764926468.4,7240868258.6,641488362.0,10220169788.2,2948896638.8,2963881877.5,1908966146.6
2009,ODA,335642406.6,316517120.6,672959244.4,308184173.1,1154032606.9,776334367.4,189350899.0,656991466.0,343016349.0,502434143.3,51744535.0,361109703.6,2511171961.9,4002301639.2,227815586.0,1119191403.2,49083969.6,181081230.1,52490681.4,6532539400.8,83628780.0,129148392.4,1448500138.8,348002237.1,182787392.5,2558814315.6,133434849.4,838876543.0,43070578.6,506323048.2,600104309.9,1173146709.9,516431173.9,169776451.7,980512405.2,1774638073.4,366330979.5,474797228.9,1779481621.8,893633149.1,61782432.7,1010495619.2,29431974.5,381427219.8,,1084777801.3,,2234602849.1,3990088105.5,470661990.3,449168015.1,1858760152.1,1379606858.5,1229094853.8
2009,Remittances,166868802.2,215071.8,125598555.3,16600609.1,102628587.4,38067888.1,130506792.6,188907981.8,0.0,0.0,102314714.7,43349639.9,330585397.4,33036966.9,44602314.2,8142307157.4,0.0,0.0,87962374.0,446922675.9,14854950.2,82337547.3,104619899.8,83187338.5,59767336.9,906484878.0,597957837.1,41253023.7,0.0,330612916.6,12919263.3,542772665.4,0.0,718650.6,5876847840.3,97937587.1,84644851.7,103029882.0,19942592483.1,0.0,4056627.4,1345852838.9,20489894.3,30610370.8,,870556541.9,,1324531456.6,50816581.8,319657401.5,1787327052.6,812759309.2,44796351.8,2011902485.3
2009,FDI,3048997644.4,2921296655.7,-18679701.7,227794649.4,60330864.1,469784.5,121252657.3,761579717.6,60142370.7,337367783.4,14102473.2,1512053934.4,415522243.0,-412030274.3,133064858.9,7643491764.2,2527128777.8,115540544.8,61842304.2,378343158.9,681984903.0,40701135.3,2168655124.6,145541868.5,23111717.2,166891991.7,99690964.2,209909534.9,1474769279.3,1507083485.3,38106456.8,773485881.8,-4219637.9,279294628.1,1847037284.3,819721700.3,917187608.5,639431390.5,9288035940.3,113510779.6,31438862.0,329033622.5,213816004.3,94169519.4,,7699712391.1,,1639804706.4,1215489156.8,44071436.1,1387695116.1,875684101.5,754277463.2,175215480.0
2010,Government Expenditure,61067860257.9,38471930673.4,1388754544.1,5178522180.9,2360780938.7,1027647421.4,649239548.0,4451152246.6,528904910.8,2319060961.9,126828453.1,3122578921.3,5180371360.5,5224128542.9,543369763.3,74467965243.4,6617295566.9,796339146.6,1059268831.3,10013320220.1,3208675048.7,230624584.2,6776073560.1,2307988662.2,213060356.6,14151359807.0,1229014314.0,772642905.5,36369228178.5,1384780123.8,1417405879.7,2607977773.8,1153664959.0,2436950652.7,28089085213.4,3058974585.4,3500310663.8,1146876314.5,59609290245.7,1387932891.7,203206838.5,3591621038.0,395692310.7,445779665.6,,97461722025.0,,9382456597.1,7790156839.1,711890590.4,10304810665.7,4158579448.7,3316672430.0,3492194686.9
2010,ODA,197004513.3,274067148.1,712608010.3,148851110.6,1125540589.5,777109128.2,325792630.4,575177017.1,373553275.1,436169576.9,73522354.7,1356984277.1,880188670.7,5306748637.6,174570238.0,618572734.0,110671124.9,186354823.8,72143530.1,6961958760.9,102663008.8,124357391.1,1335184389.7,362562325.5,157464346.5,2359945299.3,241457080.0,2220543261.6,6935553.4,539121373.6,750588577.9,1313252464.3,441420102.9,129133647.7,955799458.9,1956763421.4,242273270.2,758871134.6,1997880211.6,982483470.4,103652520.9,960660979.5,63627015.1,391908386.9,,855752658.8,,1666971649.8,3692693523.2,400659709.8,511201405.3,1846174411.2,832879379.4,1142258582.2
