date,Sub-Saharan Africa,World
2001-01-01,25.9808516994533,13.1
2002-01-01,25.5264078751425,13.3
2003-01-01,25.0747584273628,13.0
2004-01-01,24.0488213472609,12.9
2005-01-01,22.9084628807566,12.3
2006-01-01,21.9533750112284,11.5
2007-01-01,21.4474130826671,10.5
2008-01-01,20.9834158650294,10.0
2009-01-01,19.7172346010865,9.8
2010-01-01,18.5093356101835,8.6
2011-01-01,17.3726568527002,8.3
2012-01-01,17.0566077933603,8.2
2013-01-01,16.8822874424749,7.9
2014-01-01,16.9706262197803,7.8
2015-01-01,17.2853656562828,8.0
2016-01-01,17.5950544028719,7.8
2017-01-01,18.0430650146014,7.6
2018-01-01,18.4572340094107,7.7
2019-01-01,19.7084475105759,8.0
2020-01-01,20.8305337891922,9.3
