All ages estimate,All ages lower estimate,All ages upper estimate,country,year
12112.0,8466.53599,17677.3467,UNAAP,1990
21440.0,14986.95522,31291.38101,UNAAP,1991
35336.0,24698.93369,51569.0968,UNAAP,1992
54444.0,38058.38551,79462.40073,UNAAP,1993
79529.0,55591.10831,116069.1098,UNAAP,1994
110394.0,77166.78616,161117.1363,UNAAP,1995
145398.0,101631.745,212197.7151,UNAAP,1996
183569.0,128314.2303,267908.2848,UNAAP,1997
224153.0,156680.0147,327133.4279,UNAAP,1998
264887.0,185153.6569,386583.7682,UNAAP,1999
303751.0,212317.6959,443299.7777,UNAAP,2000
339517.0,237317.1666,495496.368,UNAAP,2001
370639.0,259073.7493,540922.1072,UNAAP,2002
394199.0,275541.9241,575306.1382,UNAAP,2003
410892.0,287210.9991,599670.091,UNAAP,2004
414250.0,289559.9173,604574.4157,UNAAP,2005
402733.0,281506.5654,587759.7595,UNAAP,2006
386522.0,270173.5293,564097.4246,UNAAP,2007
358841.0,250829.2547,523708.3625,UNAAP,2008
330301.0,230877.5411,482051.0236,UNAAP,2009
306059.0,213931.2277,446668.6834,UNAAP,2010
284246.0,198686.6788,414839.4704,UNAAP,2011
264478.0,184869.5772,385990.636,UNAAP,2012
243681.0,170329.6098,355632.5242,UNAAP,2013
221052.0,154517.2675,322617.8113,UNAAP,2014
211169.0,147605.6806,308187.0548,UNAAP,2015
199340.0,139337.4095,290923.667,UNAAP,2016
183247.0,128086.8026,267433.4368,UNAAP,2017
171370.0,119784.5243,250099.0451,UNAAP,2018
151512.0,105906.8571,221123.7551,UNAAP,2019
137299.0,95969.18532,200374.8125,UNAAP,2020
140957.0,98529.97861,205721.5129,UNAAP,2021
4462.0,3282.39217,5905.49792,UNACAR,1990
5810.0,4274.26275,7690.01645,UNACAR,1991
7275.0,5352.58257,9630.06966,UNACAR,1992
8819.0,6487.84276,11672.56681,UNACAR,1993
10413.0,7659.99522,13781.43851,UNACAR,1994
12017.0,8840.39319,15905.14506,UNACAR,1995
13596.0,10001.51179,17994.16524,UNACAR,1996
15114.0,11118.41038,20003.62724,UNACAR,1997
16541.0,12168.74369,21893.32865,UNACAR,1998
17843.0,13125.44875,23614.57934,UNACAR,1999
18997.0,13974.67852,25142.46643,UNACAR,2000
19948.0,14674.82181,26402.1254,UNACAR,2001
20568.0,15129.7516,27220.60985,UNACAR,2002
20815.0,15311.93105,27548.37701,UNACAR,2003
20776.0,15283.95448,27498.04311,UNACAR,2004
20301.0,14934.03367,26868.48501,UNACAR,2005
18471.0,13588.0005,24446.77679,UNACAR,2006
16249.0,11953.22285,21505.57552,UNACAR,2007
14344.0,10551.89575,18984.38553,UNACAR,2008
12651.0,9306.81115,16744.29838,UNACAR,2009
11515.0,8469.77362,15238.34689,UNACAR,2010
11391.0,8379.87808,15076.61182,UNACAR,2011
10899.0,8017.50013,14424.64152,UNACAR,2012
10110.0,7437.12774,13380.4677,UNACAR,2013
9165.0,6742.09656,12130.00615,UNACAR,2014
8421.0,6193.75985,11143.46916,UNACAR,2015
8093.0,5954.18971,10712.44786,UNACAR,2016
7572.0,5570.10311,10021.42055,UNACAR,2017
6937.0,5102.93635,9180.92003,UNACAR,2018
6603.0,4856.88476,8738.23766,UNACAR,2019
6019.0,4427.81946,7966.28716,UNACAR,2020
5727.0,4213.48507,7580.66862,UNACAR,2021
198606.0,161458.3058,255596.4467,UNAESA,1990
253258.0,205883.1874,325923.2213,UNAESA,1991
315240.0,256272.1533,405691.4349,UNAESA,1992
384014.0,312183.1031,494201.2211,UNAESA,1993
458355.0,372619.1113,589874.3973,UNAESA,1994
536996.0,436549.0573,691078.6491,UNAESA,1995
617697.0,502154.523,794935.3309,UNAESA,1996
699255.0,568457.5418,899896.2739,UNAESA,1997
778517.0,632893.5968,1001901.721,UNAESA,1998
854306.0,694505.319,1099436.111,UNAESA,1999
924495.0,751566.1873,1189766.274,UNAESA,2000
985612.0,801249.7856,1268417.856,UNAESA,2001
1038223.0,844016.671,1336119.941,UNAESA,2002
1083487.0,880817.5001,1394377.465,UNAESA,2003
1108958.0,901523.3269,1427155.809,UNAESA,2004
1084564.0,881692.432,1395762.526,UNAESA,2005
1030875.0,838049.0149,1326672.848,UNAESA,2006
937866.0,762433.6319,1206969.974,UNAESA,2007
826986.0,672296.4331,1064278.351,UNAESA,2008
743073.0,604079.1521,956287.0366,UNAESA,2009
659974.0,536522.0888,849340.8796,UNAESA,2010
579472.0,471081.1094,745744.5876,UNAESA,2011
523807.0,425827.7967,674106.3656,UNAESA,2012
467906.0,380383.3429,602165.5582,UNAESA,2013
423166.0,344012.322,544588.4414,UNAESA,2014
393591.0,319969.3358,506527.2107,UNAESA,2015
367333.0,298623.4464,472735.6169,UNAESA,2016
349744.0,284325.5834,450101.3958,UNAESA,2017
327771.0,266458.7138,421817.2618,UNAESA,2018
307359.0,249865.8904,395550.0055,UNAESA,2019
294471.0,239393.1235,378971.0998,UNAESA,2020
278499.0,226404.9213,358410.1364,UNAESA,2021
3902.0,3217.56931,4697.14778,UNAEECA,1990
4576.0,3773.4194,5508.60195,UNAEECA,1991
5259.0,4336.34043,6330.37859,UNAEECA,1992
5967.0,4919.91,7182.29885,UNAEECA,1993
6733.0,5551.95394,8104.98411,UNAEECA,1994
7608.0,6273.54769,9158.3981,UNAEECA,1995
8654.0,7137.17523,10419.15917,UNAEECA,1996
9936.0,8191.60174,11958.45692,UNAEECA,1997
11540.0,9516.52732,13892.64097,UNAEECA,1998
13407.0,11054.2909,16137.5352,UNAEECA,1999
15520.0,12797.14058,18681.82305,UNAEECA,2000
17796.0,14673.78802,21421.43471,UNAEECA,2001
20433.0,16847.98758,24595.4259,UNAEECA,2002
23219.0,19145.00534,27948.71244,UNAEECA,2003
26150.0,21562.02432,31477.18199,UNAEECA,2004
28927.0,23852.36014,34820.71395,UNAEECA,2005
31274.0,25785.29108,37642.49071,UNAEECA,2006
30935.0,25508.56883,37238.51952,UNAEECA,2007
30321.0,24999.67435,36495.61319,UNAEECA,2008
31549.0,26012.33999,37973.94659,UNAEECA,2009
33251.0,27415.2566,40021.98535,UNAEECA,2010
35954.0,29646.17871,43278.78258,UNAEECA,2011
38250.0,31539.09266,46042.1408,UNAEECA,2012
38150.0,31456.91332,45922.17182,UNAEECA,2013
38177.0,31478.73694,45954.03088,UNAEECA,2014
38702.0,31911.17575,46585.32389,UNAEECA,2015
40485.0,33382.35853,48733.02058,UNAEECA,2016
37830.0,31193.26701,45537.28946,UNAEECA,2017
39662.0,32704.86061,47743.97961,UNAEECA,2018
41198.0,33967.88529,49587.79804,UNAEECA,2019
44018.0,36295.74817,52986.11363,UNAEECA,2020
43989.0,36269.8845,52948.35672,UNAEECA,2021
20336.0,12667.54302,29019.683,UNALA,1990
24214.0,15083.9414,34555.33542,UNALA,1991
28306.0,17632.66986,40394.13871,UNALA,1992
32571.0,20291.17529,46484.42668,UNALA,1993
36978.0,23036.6221,52773.88597,UNALA,1994
41365.0,25768.58186,59032.4482,UNALA,1995
45052.0,28066.75377,64297.25923,UNALA,1996
39923.0,24869.32106,56972.3594,UNALA,1997
37576.0,23407.96239,53624.57798,UNALA,1998
39367.0,24523.01477,56179.01703,UNALA,1999
41251.0,25697.95131,58870.64285,UNALA,2000
41810.0,26046.31372,59668.69554,UNALA,2001
42991.0,26781.62173,61353.18994,UNALA,2002
43411.0,27042.51148,61950.85421,UNALA,2003
42975.0,26770.02896,61326.63243,UNALA,2004
44055.0,27443.83411,62870.23184,UNALA,2005
44229.0,27553.21839,63120.8169,UNALA,2006
42461.0,26453.04641,60600.46689,UNALA,2007
