country,All ages estimate,All ages lower estimate,All ages upper estimate,year
AFG,10.436294,4.13328,40.218821,2021
AGO,40.716374,34.484612,48.531501,2021
ALB,53.342716,45.497095,61.826498,2021
ARE,,,,2021
ARG,71.942957,65.847084,78.075653,2021
ARM,,,,2021
AUS,83.158834,77.623666,88.163037,2021
AUT,,,,2021
AZE,61.388094,49.030475,78.376032,2021
BDI,92.677291,80.128514,100.0,2021
BEL,,,,2021
BEN,83.874393,68.94135,98.944067,2021
BFA,84.168337,71.938994,98.474181,2021
BGD,31.454558,29.820386,33.197097,2021
BGR,59.94389,51.068158,67.492934,2021
BHR,63.317757,56.068761,68.939427,2021
BHS,68.318386,58.867165,78.52019,2021
BIH,,,,2021
BLR,70.092338,53.341223,93.752887,2021
BLZ,48.032407,44.196486,52.104599,2021
BOL,56.132239,47.876671,67.761841,2021
BRA,72.771682,35.373581,100.0,2021
BRB,60.453401,54.159344,66.722079,2021
BRN,,,,2021
BTN,41.834452,11.54269,97.644918,2021
BWA,91.743268,86.814524,97.83881,2021
CAF,67.322018,57.065232,81.658584,2021
CAN,,,,2021
CHE,89.954179,74.160936,100.0,2021
CHL,68.247364,61.466203,74.168435,2021
CHN,,,,2021
CIV,76.239634,67.705507,86.086286,2021
CMR,78.085924,72.601271,83.503222,2021
COD,82.036768,66.90726,98.203263,2021
COG,22.540821,16.328724,34.503915,2021
COL,73.836471,58.702641,92.957009,2021
COM,60.810811,31.227173,100.0,2021
CPV,100.0,91.890236,134.175638,2021
CRI,66.379207,58.957361,72.310323,2021
CUB,72.288157,62.804924,80.007533,2021
CYP,81.344411,71.329956,90.252976,2021
CZE,,,,2021
DEU,,,,2021
DJI,30.932625,21.852005,41.968991,2021
DNK,86.77723,72.29491,100.0,2021
DOM,55.101027,44.704739,65.699484,2021
DZA,81.677444,74.530138,88.666692,2021
ECU,73.568066,65.413163,83.63163,2021
EGY,40.472746,36.685994,44.718539,2021
ERI,70.840397,56.16562,96.741435,2021
ESP,86.144179,74.406914,95.686024,2021
EST,,,,2021
ETH,78.356335,74.676775,82.4142,2021
FIN,,,,2021
FJI,45.499297,28.861017,89.814716,2021
FRA,85.157898,73.705652,94.983931,2021
GAB,54.361798,46.381871,68.531642,2021
GBR,,,,2021
GEO,71.105061,66.855124,75.390195,2021
GHA,70.955934,68.053015,76.875926,2021
GIN,52.232499,45.4613,59.597589,2021
GMB,33.405048,26.536409,43.206206,2021
GNB,44.526766,40.589423,49.549496,2021
GNQ,41.419398,40.157998,44.388205,2021
GRC,69.850187,64.052546,75.491706,2021
GTM,72.729039,65.105322,82.403484,2021
GUY,63.371134,57.301878,70.59675,2021
HND,56.45,51.207848,63.298411,2021
