SpatialDim,TimeDim,NumericValue
AFR,2004,749963.0
AFR,2010,645874.0
AFR,2011,607628.0
AFR,2005,723264.0
AFR,2006,714573.0
AFR,2007,697946.0
AFR,2008,678129.0
AFR,2009,671207.0
AFR,2018,533041.0
AFR,2019,534201.0
AFR,2020,602020.0
AFR,2000,839720.0
AFR,2001,837574.0
AFR,2002,796770.0
AFR,2003,773527.0
AFR,2012,575258.0
AFR,2013,555751.0
AFR,2014,534225.0
AFR,2015,527099.0
AFR,2016,528332.0
AFR,2017,542464.0
GLOBAL,2000,895555.0
GLOBAL,2001,891745.0
GLOBAL,2002,848042.0
GLOBAL,2003,824547.0
GLOBAL,2004,803391.0
GLOBAL,2005,777901.0
GLOBAL,2006,764206.0
GLOBAL,2007,744841.0
GLOBAL,2008,725008.0
GLOBAL,2009,720691.0
GLOBAL,2010,697948.0
GLOBAL,2011,651325.0
GLOBAL,2012,614215.0
GLOBAL,2013,588576.0
GLOBAL,2014,569324.0
GLOBAL,2015,562352.0
GLOBAL,2016,566171.0
GLOBAL,2017,574419.0
GLOBAL,2018,558402.0
GLOBAL,2019,557816.0
GLOBAL,2020,626868.0
