name_short,indicator_name,value,lower,value_previous,center
North Africa (WB),2023 estimate (median),2.968,in 2022,2.931,0.5168627450980393
Sub-Saharan Africa (WB),2023 estimate (median),4.09,in 2022,3.5,0.5417799528729381
Africa,2023 estimate (median),3.9985,in 2022,3.4705,0.5357041749707339
Sub-Saharan Africa (UN),2023 estimate (median),4.132,in 2022,3.6020000000000003,0.5465177327140318
Eastern and Southern Africa,2023 estimate (median),3.6145,in 2022,3.6414999999999997,0.5319536732725021
Western and Central Africa,2023 estimate (median),4.406000000000001,in 2022,3.6020000000000003,0.5465177327140318
Northern Africa,2023 estimate (median),2.802,in 2022,2.7264999999999997,0.4455688252602429
Middle Africa,2023 estimate (median),3.49,in 2022,2.785,0.5142898592775279
Western Africa,2023 estimate (median),4.946,in 2022,4.574999999999999,0.6859024482312338
Southern Africa,2023 estimate (median),2.78,in 2022,2.093,0.34594325535092085
Eastern Africa,2023 estimate (median),4.087,in 2022,4.179,0.5770486722952479
