name_short,date,indicator_name,value
North Africa (WB),2018-01-31,Inflation Rate (median),6.6
North Africa (WB),2018-02-28,Inflation Rate (median),6.8
North Africa (WB),2018-03-31,Inflation Rate (median),7.2
North Africa (WB),2018-04-30,Inflation Rate (median),7.5
North Africa (WB),2018-05-31,Inflation Rate (median),7.5
North Africa (WB),2018-06-30,Inflation Rate (median),7.7
North Africa (WB),2018-07-31,Inflation Rate (median),7.3
North Africa (WB),2018-08-31,Inflation Rate (median),7.3
North Africa (WB),2018-09-30,Inflation Rate (median),7.4
North Africa (WB),2018-10-31,Inflation Rate (median),7.1
North Africa (WB),2018-11-30,Inflation Rate (median),4.0
North Africa (WB),2018-12-31,Inflation Rate (median),2.7
North Africa (WB),2019-01-31,Inflation Rate (median),2.6
North Africa (WB),2019-02-28,Inflation Rate (median),2.7
North Africa (WB),2019-03-31,Inflation Rate (median),2.9
North Africa (WB),2019-04-30,Inflation Rate (median),2.3
North Africa (WB),2019-05-31,Inflation Rate (median),1.5
North Africa (WB),2019-06-30,Inflation Rate (median),0.2
North Africa (WB),2019-07-31,Inflation Rate (median),1.3
North Africa (WB),2019-08-31,Inflation Rate (median),1.9
North Africa (WB),2019-09-30,Inflation Rate (median),2.9
North Africa (WB),2019-10-31,Inflation Rate (median),1.5
North Africa (WB),2019-11-30,Inflation Rate (median),1.4
North Africa (WB),2019-12-31,Inflation Rate (median),2.4
North Africa (WB),2020-01-31,Inflation Rate (median),1.9
North Africa (WB),2020-02-29,Inflation Rate (median),3.55
North Africa (WB),2020-03-31,Inflation Rate (median),2.1
North Africa (WB),2020-04-30,Inflation Rate (median),2.4
North Africa (WB),2020-05-31,Inflation Rate (median),2.4
North Africa (WB),2020-06-30,Inflation Rate (median),2.8
North Africa (WB),2020-07-31,Inflation Rate (median),2.4
North Africa (WB),2020-08-31,Inflation Rate (median),1.9
North Africa (WB),2020-09-30,Inflation Rate (median),2.0
North Africa (WB),2020-10-31,Inflation Rate (median),3.2
North Africa (WB),2020-11-30,Inflation Rate (median),3.4
North Africa (WB),2020-12-31,Inflation Rate (median),3.5
North Africa (WB),2021-01-31,Inflation Rate (median),4.2
North Africa (WB),2021-02-28,Inflation Rate (median),4.5
North Africa (WB),2021-03-31,Inflation Rate (median),4.5
North Africa (WB),2021-04-30,Inflation Rate (median),4.1
North Africa (WB),2021-05-31,Inflation Rate (median),4.8
North Africa (WB),2021-06-30,Inflation Rate (median),4.9
North Africa (WB),2021-07-31,Inflation Rate (median),5.9
North Africa (WB),2021-08-31,Inflation Rate (median),5.95
North Africa (WB),2021-09-30,Inflation Rate (median),6.2
North Africa (WB),2021-10-31,Inflation Rate (median),6.3
