name_short,As of,indicator,value
Angola,2021,Total Population,33.9 million people
Burundi,2021,Total Population,12.3 million people
Benin,2021,Total Population,12.5 million people
Burkina Faso,2021,Total Population,21.5 million people
Botswana,2021,Total Population,2.4 million people
Central African Republic,2021,Total Population,4.9 million people
Cote d'Ivoire,2021,Total Population,27.1 million people
Cameroon,2021,Total Population,27.2 million people
DR Congo,2021,Total Population,92.4 million people
Congo Republic,2021,Total Population,5.7 million people
Comoros,2021,Total Population,0.9 million people
Cabo Verde,2021,Total Population,0.6 million people
Djibouti,2021,Total Population,1.0 million people
Algeria,2021,Total Population,44.6 million people
Egypt,2021,Total Population,104.3 million people
Eritrea,2011,Total Population,3.2 million people
Ethiopia,2021,Total Population,117.9 million people
Gabon,2021,Total Population,2.3 million people
Ghana,2021,Total Population,31.7 million people
Guinea,2021,Total Population,13.5 million people
Gambia,2021,Total Population,2.5 million people
Guinea-Bissau,2021,Total Population,2.0 million people
Equatorial Guinea,2021,Total Population,1.4 million people
Kenya,2021,Total Population,55.0 million people
Liberia,2021,Total Population,5.2 million people
Libya,2021,Total Population,7.0 million people
Lesotho,2021,Total Population,2.2 million people
Morocco,2021,Total Population,37.3 million people
Madagascar,2021,Total Population,28.4 million people
Mali,2021,Total Population,20.9 million people
Mozambique,2021,Total Population,32.2 million people
Mauritania,2021,Total Population,4.8 million people
Mauritius,2021,Total Population,1.3 million people
Malawi,2021,Total Population,19.6 million people
Namibia,2021,Total Population,2.6 million people
Niger,2021,Total Population,25.1 million people
Nigeria,2021,Total Population,211.4 million people
Rwanda,2021,Total Population,13.3 million people
Sudan,2021,Total Population,44.9 million people
Senegal,2021,Total Population,17.2 million people
Sierra Leone,2021,Total Population,8.1 million people
Somalia,2021,Total Population,16.4 million people
South Sudan,2021,Total Population,11.4 million people
Sao Tome and Principe,2021,Total Population,0.2 million people
Eswatini,2021,Total Population,1.2 million people
Seychelles,2021,Total Population,0.1 million people
Chad,2021,Total Population,16.9 million people
Togo,2021,Total Population,8.5 million people
Tunisia,2021,Total Population,11.9 million people
Tanzania,2021,Total Population,61.5 million people
Uganda,2021,Total Population,47.1 million people
South Africa,2021,Total Population,60.0 million people
Zambia,2021,Total Population,18.9 million people
Zimbabwe,2021,Total Population,15.1 million people
