date,Africa (median),Algeria,Angola,Benin,Botswana,Burkina Faso,Burundi,Cabo Verde,Cameroon,Chad,Congo Republic,Cote d'Ivoire,DR Congo,Djibouti,Egypt,Eswatini,Ethiopia,Gambia,Ghana,Guinea,Kenya,Lesotho,Liberia,Libya,Madagascar,Malawi,Mali,Mauritania,Mauritius,Morocco,Mozambique,Namibia,Niger,Nigeria,Rwanda,Senegal,Seychelles,Sierra Leone,Somalia,South Africa,South Sudan,Tanzania,Togo,Tunisia,Uganda,Zambia,Zimbabwe
2019-10-31,4.14,-0.3,17.4,-5.4,2.5,-8.3,6.2,1.9,2.4,-4.1,,0.6,,6.2,-4.8,2.3,23.2,7.26,7.0,11.4,8.74,7.6,32.38,-4.27,4.5,16.0,-3.8,3.1,0.4,0.6,4.27,4.0,-2.9,14.09,14.2,0.7,1.28,9.1,7.6,3.6,188.5,5.1,-1.1,6.6,2.5,13.3,620.89
2019-11-30,3.55,-0.8,18.1,-2.7,2.7,-6.0,6.4,2.0,2.6,-3.5,,2.4,,7.0,-4.6,2.4,24.5,7.56,8.4,11.6,9.58,7.2,30.5,-2.39,3.8,17.2,-4.3,3.2,0.6,-0.7,5.81,2.9,-2.6,14.48,23.8,1.5,1.57,3.6,6.6,3.5,87.1,6.1,-2.2,6.3,3.5,13.5,671.86
2019-12-31,4.1,1.6,19.0,-4.9,3.0,-5.3,8.8,4.3,2.7,-0.1,,3.5,,6.8,1.8,2.7,22.8,7.64,7.2,11.6,10.02,7.4,23.0,0.89,3.2,19.3,-2.3,2.5,3.1,0.6,8.41,1.7,-2.5,14.67,23.8,-0.2,1.34,5.4,3.8,3.9,102.1,6.3,-3.2,5.8,4.7,15.2,719.23
2020-01-31,4.0,-1.0,19.9,-3.4,3.2,-2.1,8.6,3.5,4.0,4.0,,3.8,,5.8,2.6,3.6,22.0,7.92,7.8,11.6,9.6,5.6,22.2,-1.43,3.0,17.6,0.6,2.4,6.9,1.4,8.68,2.2,-0.2,14.85,22.2,2.0,0.81,7.4,3.9,3.8,-54.5,5.7,-1.7,4.4,5.9,15.4,685.4
2020-02-28,5.4,-0.5,21.1,3.6,3.5,-0.4,12.8,3.7,,8.0,,5.4,,5.7,-0.9,,25.1,6.0,,,,5.5,25.3,,3.1,17.0,1.7,2.8,6.1,1.2,7.7,2.8,-0.3,,26.6,1.6,0.44,8.3,6.4,,-40.4,5.9,-0.8,3.7,7.1,,710.3
2020-02-29,,,,,,,,,3.2,,,,,5.7,,3.8,,6.01,7.9,12.0,10.58,,,-2.87,,17.0,,,,,,,,14.9,,,,,,4.2,,,,3.7,,15.9,
2020-03-31,5.2,0.8,22.5,-1.3,3.4,-0.6,11.9,4.2,3.5,10.6,,5.7,,5.8,-1.8,4.2,27.0,7.67,8.4,11.9,11.85,5.2,,-3.09,3.6,14.7,-0.4,2.9,7.9,3.0,6.37,2.9,1.3,14.98,24.1,2.6,0.78,9.9,10.8,4.2,23.5,5.3,1.5,5.1,4.9,15.2,807.3
2020-04-30,5.7,0.6,24.9,3.1,3.1,-0.5,12.4,4.4,2.6,12.3,,5.6,,5.5,1.4,3.9,25.9,6.87,14.4,13.5,11.58,8.7,30.2,-2.93,3.7,14.6,-0.4,2.9,12.2,2.9,6.77,4.2,4.0,15.03,18.7,3.8,1.42,10.5,8.1,4.3,46.7,4.6,4.6,6.2,5.8,17.0,980.4
2020-05-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8,17.5,
2020-05-31,4.7,-0.3,26.6,-1.0,3.2,4.5,15.2,2.6,3.0,8.8,,3.6,,3.9,-0.7,4.3,20.3,6.18,15.1,13.3,10.55,9.9,28.3,-3.33,3.7,13.7,0.8,2.6,7.5,0.1,7.14,4.7,4.8,15.04,13.5,3.1,1.33,16.6,5.5,4.4,40.8,4.4,1.6,4.7,,17.5,953.5
2020-06-30,4.4,2.3,28.0,3.0,3.6,3.5,13.8,1.8,3.3,4.5,,4.8,,6.3,0.2,4.6,23.0,5.65,13.8,13.5,8.15,11.4,21.1,1.44,3.7,13.4,1.6,2.5,3.3,-1.6,6.98,4.7,4.3,15.18,14.3,2.3,3.09,16.94,1.8,4.2,10.4,3.8,-0.8,4.3,3.3,16.3,44.7
2020-07-31,4.25,0.6,29.0,2.0,3.9,3.0,12.4,0.7,4.1,7.5,,4.4,,11.7,-1.6,4.1,25.0,5.17,13.7,13.3,6.62,12.3,17.8,1.2,3.6,12.2,2.8,1.0,2.6,-1.1,9.11,6.1,9.1,15.48,17.3,3.7,3.92,17.27,-1.7,4.4,-19.0,3.8,3.4,4.0,1.7,16.1,55.0
2020-08-31,5.76,-1.8,29.9,6.3,4.2,6.6,10.4,0.3,4.1,17.2,,4.6,,5.3,-4.1,3.8,22.0,7.04,11.4,12.7,5.43,12.9,16.25,0.76,3.7,11.3,4.9,0.6,2.5,1.4,9.66,6.8,10.7,16.0,15.5,4.8,5.2,17.72,-2.2,3.9,9.1,3.7,6.1,3.9,2.0,15.5,42.9
2020-09-30,5.88,-1.7,30.5,9.4,4.2,8.1,10.6,1.3,3.7,11.4,,2.3,,2.4,-2.7,3.8,21.3,6.36,11.2,12.5,5.18,12.7,14.09,0.57,4.3,10.3,2.8,1.7,5.4,2.9,9.03,6.6,10.2,16.66,15.1,4.2,5.28,17.75,-3.1,3.8,610.6,3.4,7.2,5.3,0.0,14.0,65.7
2020-10-30,,,,,,,,,,,,,,,,,,,,,5.76,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-31,6.76,1.3,30.7,7.5,4.3,8.5,11.9,0.2,4.1,12.0,,5.0,,3.0,-0.7,4.4,23.2,6.62,12.6,13.0,5.76,12.7,14.85,1.01,4.3,10.9,7.3,1.4,7.1,2.7,8.62,7.1,6.2,17.38,13.8,4.1,5.23,13.69,-3.6,5.4,20.4,3.4,6.9,5.6,-0.1,14.6,19.0
2020-11-30,5.94,0.8,31.3,3.4,4.3,8.7,15.6,-0.2,3.6,9.5,,2.1,,1.4,3.6,5.7,22.1,6.5,11.7,12.6,6.09,13.3,13.96,1.48,4.3,10.4,4.9,2.9,7.3,-0.1,8.6,7.0,5.3,18.3,4.9,3.5,6.3,14.96,-2.44,5.8,65.8,2.8,6.3,4.3,-2.2,16.8,19.0
2020-12-31,5.3,1.47,31.4,4.3,3.6,5.4,13.1,-2.6,3.5,5.1,,2.8,,1.2,2.8,5.1,21.3,6.78,14.1,12.4,7.19,13.4,15.74,3.15,4.8,10.5,-5.49,2.6,5.2,-1.7,8.71,7.6,5.7,19.56,4.0,3.8,9.5,15.1,1.24,5.9,42.6,3.0,7.5,4.4,-2.3,20.2,14.8
2021-01-31,5.25,3.44,31.3,0.4,3.4,5.8,9.9,-3.0,2.7,0.7,,3.2,,1.5,-0.5,5.3,23.2,8.88,12.8,15.4,7.36,13.4,16.31,3.27,5.7,9.7,2.7,3.7,-0.7,-1.0,9.57,5.2,6.4,20.57,3.4,0.6,15.6,18.9,1.18,5.4,190.8,2.8,4.9,4.9,-2.8,25.6,17.4
2021-02-28,5.15,5.1,31.8,-2.5,3.7,5.0,8.9,-3.1,2.8,-2.4,,5.6,,1.5,-0.5,5.1,22.8,10.13,12.3,14.4,6.93,13.5,10.48,3.29,6.0,10.3,1.5,4.3,-1.5,-0.8,12.75,5.5,8.4,21.79,0.9,2.5,17.6,19.6,0.01,5.2,52.4,3.6,4.8,4.8,-2.1,27.3,29.8
2021-03-31,5.35,5.8,31.5,1.2,4.0,5.6,10.8,-3.3,2.9,-1.36,,5.2,,0.8,1.1,5.5,22.3,10.0,10.8,14.0,6.65,14.3,5.01,1.84,6.4,11.7,4.9,3.9,-1.6,-2.1,14.13,6.6,6.7,22.95,-0.5,1.2,18.96,15.5,-0.3,5.7,-34.0,4.3,1.2,4.1,0.4,27.8,35.7
2021-04-30,6.0,7.4,30.8,2.9,6.8,7.4,11.9,-2.5,4.1,-2.7,,5.3,,0.4,-0.3,5.2,21.9,8.28,6.5,16.3,6.42,11.2,-2.53,0.03,7.1,11.5,6.0,4.2,-4.0,0.1,13.4,5.9,,22.72,0.4,-0.2,18.83,15.64,-1.91,6.3,142625.9,4.8,5.4,4.9,-2.0,27.2,22.8
2021-05-31,6.6,6.81,30.6,5.0,6.7,4.2,5.2,-0.9,4.4,,,7.0,,2.2,1.7,4.8,23.9,9.95,5.4,16.9,7.02,10.6,-4.04,2.2,7.6,11.0,7.4,4.5,2.3,1.5,11.96,6.6,,22.28,-1.0,1.6,19.0,17.56,-1.98,6.6,132919.6,4.9,7.6,6.0,-3.5,28.5,22.5
2021-06-30,7.2,3.79,31.0,12.0,6.8,5.9,12.2,-0.7,4.5,0.3,,6.0,,0.0,3.3,4.3,29.0,10.93,7.3,16.0,8.46,9.2,3.95,3.06,8.0,11.1,5.2,5.2,10.7,0.6,11.82,7.3,,21.83,-1.5,2.8,17.37,17.1,-1.93,6.7,164936.7,4.7,11.9,7.2,-1.6,31.2,28.6
2021-07-31,8.0,9.38,31.6,8.9,6.5,5.6,12.9,0.6,4.5,-0.9,,7.8,,-3.2,4.9,5.4,32.0,11.46,9.5,16.2,8.84,8.5,0.21,3.89,8.4,10.3,2.8,6.1,9.4,2.7,11.01,6.1,,21.03,-3.5,4.6,16.06,15.4,4.72,6.6,150553.6,5.1,14.5,8.0,0.7,31.2,15.0
2021-08-31,7.4,11.34,32.4,5.9,6.4,6.1,14.2,2.2,4.3,-5.3,,8.8,,1.6,6.6,5.5,37.6,8.76,10.9,17.3,10.67,7.8,0.1,4.48,8.4,9.7,1.8,7.3,7.7,-1.1,10.67,5.2,,20.3,-5.7,3.9,14.41,14.9,5.91,6.9,4703.1,3.6,15.0,7.4,1.3,31.6,18.1
2021-09-30,8.0,13.67,33.1,10.7,6.4,8.5,13.7,2.4,4.5,-1.0,,10.6,,4.7,10.6,5.1,41.9,8.98,11.5,16.4,10.63,7.6,0.18,5.07,8.0,10.9,6.9,7.4,5.7,-0.3,11.5,5.0,,19.57,-8.4,4.4,13.08,13.3,5.91,6.7,623.6,4.0,12.5,7.2,2.9,29.6,21.1
2021-10-30,,,,,,,11.7,,,,,,,,,,,,,,,,,,,,,,7.4,,,,,,,,,,,,,,,,,,
2021-10-31,7.8,12.32,33.6,7.8,6.8,8.3,,3.3,4.1,,,8.9,,4.7,11.5,4.5,40.7,8.8,11.5,16.0,10.6,7.4,-2.39,5.94,7.9,11.8,3.6,7.2,,1.0,12.01,5.2,7.7,18.34,-10.6,4.3,12.61,18.2,7.1,6.1,4405.4,3.9,13.5,7.0,3.1,28.1,24.8
2021-11-30,8.05,13.6,33.7,7.4,6.7,10.3,8.1,5.2,4.7,-2.8,,11.4,,3.7,8.1,2.7,38.9,9.1,13.1,15.2,9.92,6.9,-6.58,6.64,8.0,12.8,6.9,6.7,8.7,2.9,10.82,5.2,8.7,17.21,-12.3,3.9,10.86,18.8,7.42,5.5,4033.4,4.0,11.9,6.9,4.6,25.4,24.3
2021-12-31,8.4,11.9,33.7,11.3,7.2,14.2,9.6,6.9,7.6,3.0,3.2,12.3,,3.5,8.4,3.8,41.6,9.98,12.8,15.1,9.09,6.6,-7.05,4.86,7.8,13.6,10.6,8.9,10.0,4.5,10.44,5.1,9.7,17.37,-9.5,5.4,7.82,19.4,7.39,5.5,-26.5,4.9,14.9,7.6,5.3,19.9,22.0
2022-01-31,9.86,11.8,34.3,15.5,7.0,14.2,14.4,10.0,9.0,5.9,3.9,11.9,,3.4,12.5,3.7,39.9,9.86,13.7,13.5,8.89,7.4,-6.79,5.03,7.3,14.2,11.0,9.4,10.2,4.2,10.97,5.6,11.1,17.13,-2.8,9.1,2.3,15.7,11.63,5.7,-14.6,6.3,16.8,7.6,5.3,16.9,21.6
2022-02-28,9.6,13.2,33.6,4.6,6.8,17.8,16.2,11.6,9.8,6.1,4.2,8.8,,3.8,17.6,3.4,41.9,10.42,17.4,14.0,8.69,7.5,-1.57,4.88,7.6,15.3,10.4,9.6,16.2,5.5,8.29,5.4,10.2,17.11,0.5,10.6,1.0,17.1,12.65,6.4,-18.6,6.1,17.9,8.9,4.5,16.0,23.2
2022-03-31,9.9,13.6,32.9,1.9,6.9,24.2,15.1,16.5,9.9,7.3,9.4,8.5,,6.9,19.7,3.7,43.4,8.84,22.4,14.6,9.92,7.4,2.58,5.53,7.5,17.1,11.6,11.4,18.4,9.4,7.87,4.6,11.4,17.2,2.6,10.2,-0.3,23.0,11.97,6.2,-10.7,6.5,19.1,8.7,4.4,15.3,26.3
2022-04-30,11.6,,30.9,-1.1,6.1,25.7,19.3,15.8,11.8,8.2,6.6,7.5,,10.9,26.0,5.6,42.9,15.51,26.6,12.5,12.15,7.2,-2.39,5.1,7.5,19.5,12.5,13.4,17.2,9.4,10.89,5.7,9.8,18.37,13.2,11.4,-0.8,23.0,11.92,6.0,-100.0,6.6,13.6,8.7,6.9,14.1,34.8
2022-05-31,12.2,13.4,28.8,-1.7,8.3,25.2,22.9,15.2,12.2,10.9,7.2,5.2,,11.0,24.8,5.4,43.9,14.16,30.1,12.5,12.4,7.4,1.17,4.88,7.8,25.5,16.0,14.8,11.8,8.6,14.63,6.6,9.7,19.5,23.8,12.0,0.2,26.3,14.74,7.6,-100.0,5.5,13.7,8.2,11.0,12.3,47.2
2022-06-30,12.9,17.3,26.5,-9.0,9.6,28.9,21.0,16.2,12.0,12.9,6.7,9.8,,25.6,22.3,6.7,38.1,13.71,30.7,12.8,13.8,8.4,-1.99,4.54,8.6,31.2,14.3,16.0,6.8,11.0,17.05,7.0,8.2,20.6,26.1,14.1,0.6,28.5,16.86,8.6,-100.0,5.9,10.2,9.5,13.0,11.9,68.7
2022-07-31,13.0,14.5,24.0,-5.3,11.8,30.7,24.4,16.7,12.4,13.0,5.6,9.0,,10.9,22.4,8.0,35.5,13.9,32.3,12.7,15.3,10.2,-0.98,3.68,9.8,32.5,16.7,17.4,13.2,12.4,18.97,8.4,5.9,22.02,32.7,17.2,0.7,30.6,17.5,9.7,-100.0,6.5,7.6,11.0,14.9,12.0,89.0
2022-08-31,14.5,14.5,21.5,-3.9,13.2,29.8,24.2,17.6,14.4,14.4,7.0,10.8,,12.5,23.1,10.8,33.2,14.95,34.4,14.5,15.3,10.2,-3.85,3.63,10.3,33.4,20.1,11.8,15.6,14.6,18.94,8.8,5.3,23.12,34.4,17.1,1.0,31.6,16.7,11.3,-5.3,7.8,7.2,11.9,15.7,11.4,96.9
2022-09-30,14.8,11.3,19.1,-7.1,14.8,26.4,26.3,17.9,15.4,12.4,5.5,10.8,,12.7,21.7,12.1,31.0,15.68,37.8,13.9,15.5,10.2,-5.12,3.91,10.9,33.7,16.2,12.6,17.9,15.1,18.28,9.3,4.9,23.34,41.2,18.2,1.6,35.2,16.1,11.9,-10.6,8.3,8.6,13.0,18.4,12.1,86.2
2022-10-31,15.04,10.56,17.0,-0.8,15.8,23.7,29.5,17.8,15.4,16.5,6.1,9.6,,12.2,23.9,12.5,30.6,17.11,43.7,14.6,15.8,10.0,3.08,3.63,11.7,34.5,16.3,13.7,17.2,14.3,16.49,9.1,4.0,23.72,56.9,19.5,2.45,40.14,15.04,12.0,-16.2,9.1,6.1,12.9,22.2,12.2,83.7
2022-11-30,14.9,11.6,15.1,1.2,16.3,19.6,39.8,17.2,16.4,21.6,6.0,8.4,,9.9,30.9,14.7,34.2,16.57,47.9,14.9,15.4,9.9,-0.52,3.01,12.4,33.4,14.4,14.7,16.5,14.9,17.0,9.4,5.3,24.13,64.5,21.4,2.52,43.62,12.7,12.5,-10.4,9.5,9.0,15.1,22.7,12.1,78.4
2022-12-31,14.6,13.3,13.2,-0.4,16.9,14.7,39.1,15.8,13.7,16.2,6.2,6.6,,8.5,37.9,15.1,32.9,17.36,59.7,15.7,13.8,10.3,-2.47,4.1,12.6,31.3,12.0,15.4,16.2,15.5,16.32,11.8,3.9,23.75,59.2,18.8,2.49,46.7,9.4,12.4,5.7,9.7,6.7,14.6,23.0,11.9,77.7
2023-01-31,13.9,13.5,11.5,-1.8,17.2,10.8,41.3,15.6,13.9,17.3,6.7,6.0,,9.9,48.0,15.5,33.6,16.91,61.0,16.5,12.8,9.2,-1.88,4.1,13.8,30.5,8.8,15.9,15.4,17.4,14.22,14.0,1.3,24.32,57.3,13.7,2.02,47.51,6.7,13.4,-45.6,9.9,5.6,14.1,22.9,11.6,71.9
2023-02-28,13.9,13.9,10.3,8.9,17.3,7.7,40.9,16.6,13.4,16.6,5.5,5.6,,7.4,61.8,17.0,29.6,17.51,59.1,18.2,13.3,10.9,-3.27,4.22,14.2,31.7,7.9,16.2,11.1,20.8,14.86,14.0,-0.6,24.35,59.7,11.6,1.33,50.21,5.4,13.6,8.2,9.6,1.5,15.6,20.9,11.6,58.7
2023-03-31,14.0,14.3,9.3,10.8,17.8,1.3,48.9,10.8,12.6,18.6,2.8,7.4,,4.4,62.9,16.0,32.8,19.82,50.8,18.3,13.4,8.8,-5.38,3.52,15.5,32.4,11.7,16.2,7.3,16.5,15.94,14.6,-0.1,24.45,62.6,11.9,1.18,49.46,5.0,14.0,-7.0,9.7,3.7,15.7,20.9,11.8,53.0
2023-04-30,13.5,13.0,9.2,4.1,16.6,-1.4,48.2,9.4,11.3,18.8,4.0,7.6,,1.3,54.8,14.7,31.8,21.48,48.7,18.9,10.1,7.8,1.38,3.29,14.8,37.9,6.7,15.7,6.0,16.9,15.06,13.5,-0.4,24.61,54.6,11.5,1.19,52.33,6.6,13.9,56.1,9.1,4.7,15.6,18.5,11.6,45.9
2023-05-31,11.7,13.8,9.4,3.1,14.3,-2.7,43.0,8.0,11.4,,4.1,6.7,,0.2,60.0,15.7,28.5,22.01,51.8,18.1,10.2,9.6,8.08,3.76,14.2,38.8,1.7,15.0,9.4,16.1,12.53,12.5,-1.9,24.82,39.6,10.4,-0.98,55.81,2.3,11.8,-14.2,8.5,2.1,15.9,13.5,11.6,37.6
2023-06-30,11.2,11.5,10.2,2.2,12.9,-3.6,39.5,8.2,11.9,-1.9,4.5,5.9,,-11.2,65.9,15.4,28.0,22.99,54.2,17.1,10.3,8.3,13.3,3.54,13.2,37.2,1.4,14.0,13.2,13.1,10.67,11.7,0.0,25.25,35.6,9.5,-2.06,57.99,0.36,11.0,-11.4,7.8,3.4,15.2,11.0,11.2,38.7
2023-07-31,10.5,13.2,11.6,1.3,10.7,-5.0,35.2,8.1,11.0,-5.6,3.4,7.7,,2.6,68.4,13.0,27.3,24.28,55.0,17.7,8.6,6.0,16.51,3.36,11.4,39.3,0.2,12.8,8.1,12.1,9.21,10.5,3.1,26.98,29.2,6.8,-2.4,59.93,-1.19,9.9,-17.7,6.1,5.6,14.2,8.0,12.1,26.0
