date,Africa (median),Algeria,Angola,Benin,Botswana,Burkina Faso,Burundi,Cabo Verde,Cameroon,Chad,Congo Republic,Cote d'Ivoire,DR Congo,Djibouti,Egypt,Eswatini,Ethiopia,Gambia,Ghana,Guinea,Kenya,Lesotho,Liberia,Libya,Madagascar,Malawi,Mali,Mauritania,Mauritius,Morocco,Mozambique,Namibia,Niger,Nigeria,Rwanda,Senegal,Seychelles,Sierra Leone,Somalia,South Africa,South Sudan,Tanzania,Togo,Tunisia,Uganda,Zambia,Zimbabwe
2018-01-31,4.71,0.63,18.1,-0.1,0.4,5.2,3.5,0.1,1.4,2.6,,-0.9,52.8,-0.2,16.85,2.5,15.7,6.13,6.8,14.6,4.71,7.2,8.0,51.02,14.3,7.6,1.0,3.1,12.1,1.7,-4.36,2.0,7.2,18.92,-5.3,1.3,2.37,17.51,6.71,4.6,112.6,6.3,-2.9,7.9,2.6,4.6,6.12
2018-02-28,4.1,-0.74,17.4,1.4,0.4,5.6,-8.7,0.6,1.3,1.4,,-0.6,49.9,-0.2,13.22,1.1,16.4,6.1,7.2,14.7,3.83,7.0,11.6,35.9,13.0,7.3,2.5,3.8,15.8,1.7,-3.93,2.0,4.0,17.59,-7.4,4.1,1.85,16.88,11.03,3.9,115.8,5.4,-0.2,7.7,1.0,4.6,4.43
2018-03-31,4.4,-1.48,16.9,1.9,0.0,3.4,-10.8,1.0,1.7,,,1.2,47.4,-5.6,11.86,0.9,13.7,6.34,7.3,14.3,2.19,6.3,17.4,25.73,12.1,10.6,3.1,4.6,15.5,3.3,-2.39,2.7,4.2,16.08,-7.9,-0.1,2.07,16.73,10.7,3.5,92.1,4.7,1.8,8.7,-0.1,5.8,4.62
2018-04-30,4.9,-0.03,16.4,5.3,-0.1,5.1,-9.6,1.4,1.2,0.9,,-1.2,44.0,-1.7,10.82,-0.9,11.4,6.34,7.4,14.0,0.26,4.9,20.1,20.95,11.0,10.0,4.1,4.5,6.8,3.3,-2.58,2.9,2.7,14.8,-7.8,2.8,1.49,17.21,10.48,3.9,165.4,3.6,6.6,8.9,-1.6,6.5,4.99
2018-05-31,4.15,4.44,16.2,1.8,-0.6,4.4,-8.6,0.7,1.2,,,-5.2,39.6,0.8,8.56,-1.3,11.9,6.24,7.6,14.1,0.34,4.3,19.6,21.02,10.9,9.5,5.7,4.0,2.2,3.1,-1.2,3.9,3.5,13.45,-4.0,1.1,1.37,18.3,10.02,3.4,58.4,2.6,-0.8,9.3,-1.7,6.9,4.99
2018-06-30,4.15,7.05,16.1,-0.6,-0.7,5.2,-7.8,0.1,1.0,,,-1.2,27.4,-1.4,10.13,-0.7,14.1,6.25,7.3,14.0,0.9,4.5,22.4,24.53,11.1,9.1,3.3,4.9,-1.5,2.6,0.29,3.8,-1.1,12.98,-3.7,-2.4,0.61,19.65,7.44,3.4,69.1,3.4,-1.3,8.6,-1.8,7.5,5.01
2018-07-31,3.7,4.23,15.5,0.3,-1.1,4.7,-8.4,0.3,0.6,-3.8,,-1.1,15.0,0.3,9.64,-1.1,13.5,6.39,7.4,13.5,0.53,4.4,23.7,24.47,11.1,9.5,1.5,4.8,1.1,1.5,1.46,2.9,2.1,12.95,-5.7,-1.1,0.69,19.07,5.98,3.4,125.7,2.8,3.7,8.3,-2.8,8.1,6.28
2018-08-31,2.91,2.79,15.5,-5.1,-1.3,3.5,-10.8,-1.5,-0.2,-4.3,,1.5,10.5,1.2,11.61,-1.1,13.8,6.56,7.9,12.4,-1.15,4.0,23.3,19.78,11.0,10.1,2.0,3.9,1.0,0.7,2.91,2.7,1.2,13.16,-6.3,0.6,-1.66,19.62,6.47,3.5,74.3,2.2,0.3,7.0,-3.0,8.3,7.58
2018-09-30,2.64,0.32,14.7,2.6,-1.0,2.1,-15.6,-0.5,0.3,-4.6,,-0.6,10.1,1.3,16.47,-0.7,10.7,6.37,8.7,12.3,0.5,4.4,25.2,20.01,10.9,10.2,0.6,4.4,3.9,-1.0,2.64,2.5,-2.6,13.31,-9.7,2.1,-1.11,20.41,5.47,3.9,43.9,2.0,1.0,5.8,-1.9,8.6,7.89
2018-10-31,3.4,1.98,14.2,5.8,-1.0,2.7,-19.9,1.2,1.9,-4.2,,0.5,10.1,1.9,20.2,0.1,9.5,6.41,8.9,12.1,0.52,4.7,24.2,8.19,10.2,10.4,0.2,3.8,6.1,1.8,2.61,3.0,-3.1,13.28,-14.2,0.2,-1.48,20.18,5.73,3.4,50.9,1.2,-0.3,6.5,-2.7,8.3,26.84
2018-11-30,2.96,2.61,14.6,-0.7,-0.8,-1.1,-18.4,1.2,2.0,-4.2,,2.1,9.8,3.3,18.7,0.3,9.3,6.48,8.6,12.1,1.72,5.2,24.9,-1.52,8.0,10.8,1.5,,5.2,-0.5,2.35,4.7,-4.1,13.3,-9.2,1.0,-1.48,16.7,5.82,3.4,34.9,0.4,1.9,5.8,-2.6,8.4,42.76
2018-12-31,2.9,-0.69,15.4,1.1,-0.2,-0.5,-15.1,0.8,2.2,-4.7,,0.2,8.4,2.9,11.2,0.5,11.4,6.39,8.7,12.1,2.54,5.3,30.5,-8.58,6.7,12.0,0.8,,2.3,-2.8,1.82,5.2,-4.2,13.56,-6.9,3.0,-3.39,12.8,5.96,3.0,30.0,1.0,2.9,6.0,-2.9,8.1,53.57
2019-01-31,3.2,2.06,15.5,3.1,0.0,-3.1,-10.8,0.5,2.0,-7.3,,6.0,,3.3,12.5,0.5,11.5,6.19,8.0,11.6,1.62,5.3,30.2,-7.62,6.3,10.7,-1.4,,-1.1,-3.1,2.61,5.7,,13.51,-6.8,1.4,-3.11,10.6,4.55,2.9,165.3,0.7,4.0,7.1,-2.4,8.2,63.73
2019-02-28,2.85,2.04,15.8,-3.5,-0.2,-4.4,-10.6,-0.6,2.9,-6.4,,-1.8,,4.7,15.42,1.0,10.8,6.34,8.1,11.5,1.09,5.9,27.6,0.43,5.8,10.8,-2.4,3.2,-4.1,-2.0,3.23,5.9,-3.6,13.47,-4.1,-1.2,-2.2,10.5,1.66,2.9,99.5,0.5,2.8,8.2,-3.6,7.7,69.78
2019-03-31,3.0,2.83,15.9,4.2,0.1,-3.7,-7.7,-0.7,3.0,-7.2,,-0.6,,4.8,15.16,1.4,11.4,6.23,8.4,11.8,2.84,6.5,23.4,0.1,5.3,14.4,-2.9,2.6,,-2.7,4.04,5.8,-2.9,13.45,-2.4,1.3,-2.7,12.3,0.99,3.1,104.2,0.1,2.6,7.5,-2.9,8.2,78.44
2019-04-30,3.17,1.73,15.9,-3.4,0.4,-5.3,-6.0,-0.6,2.7,-8.9,,0.6,,5.3,13.0,2.0,14.5,6.19,7.3,10.9,8.17,6.7,26.5,3.44,5.2,13.8,-4.4,2.3,0.2,-1.9,3.79,5.3,-3.8,13.7,-3.1,1.0,-2.6,15.9,5.61,2.9,64.9,0.9,-2.1,6.6,-1.5,8.3,92.36
2019-05-31,2.66,1.68,15.8,0.1,1.0,-5.0,-5.7,1.2,2.3,-7.0,,2.1,,5.6,15.06,1.9,20.7,6.76,6.7,10.8,6.33,7.1,26.5,-1.81,5.1,13.0,-6.4,2.3,1.4,-0.7,3.03,4.4,-6.0,13.79,-3.0,2.2,-1.9,7.5,7.16,3.2,96.6,2.2,-2.7,7.3,-0.5,9.1,126.32
2019-06-30,3.35,-3.5,15.8,-5.9,1.3,-7.6,-8.5,2.5,3.1,-4.5,,3.4,,7.2,10.35,2.5,19.9,6.69,6.5,10.5,6.98,6.7,32.2,-8.52,4.9,13.7,-1.1,2.0,2.0,-1.4,3.3,3.9,-6.5,13.56,-1.1,3.3,-1.5,6.6,10.56,3.6,87.6,2.3,1.9,6.0,0.6,9.2,252.13
2019-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,318.75
2019-07-31,3.1,-1.2,16.1,-3.4,1.6,-8.3,-6.2,2.2,3.9,-7.2,,2.5,,5.2,9.0,2.9,20.1,6.66,6.6,11.4,8.47,6.6,31.8,-8.98,4.8,14.2,-1.8,2.8,3.1,-1.2,1.63,3.4,-6.2,13.39,0.6,1.3,-1.5,7.7,9.77,3.3,120.6,2.9,-1.0,6.5,2.5,9.3,
2019-08-31,3.9,-0.4,16.2,-3.5,2.0,,-2.9,2.5,3.8,-5.1,,0.2,,5.2,6.9,3.1,22.9,6.84,8.2,11.5,7.13,7.5,34.6,-8.95,4.7,14.6,-3.5,3.0,5.8,-0.2,1.5,4.1,-6.6,13.17,3.7,0.8,0.8,8.3,7.23,3.9,133.5,3.7,-3.4,7.4,2.3,10.3,393.12
2019-09-30,4.0,2.3,16.7,-6.3,2.5,-9.8,2.9,1.5,3.2,-2.7,,1.1,,6.8,0.3,3.1,23.3,7.15,8.5,11.6,6.31,7.4,33.2,-8.43,4.5,13.9,-1.9,1.9,4.2,-1.0,2.94,4.4,-4.8,13.51,8.2,0.1,1.03,8.3,8.12,4.0,164.0,4.0,-1.4,7.3,1.7,12.4,483.55
