name_short,indicator_name,year,value
Cabo Verde,Unemployment rate,2012-01-01,16.8
Cabo Verde,Unemployment rate,2013-01-01,16.4
Cabo Verde,Unemployment rate,2014-01-01,15.8
Cabo Verde,Unemployment rate,2015-01-01,12.4
Cabo Verde,Unemployment rate,2016-01-01,15.0
Cabo Verde,Unemployment rate,2017-01-01,12.2
Cabo Verde,Unemployment rate,2018-01-01,12.2
Cabo Verde,Unemployment rate,2019-01-01,8.5
Cabo Verde,Unemployment rate,2020-01-01,8.5
Cabo Verde,Unemployment rate,2021-01-01,8.5
Cabo Verde,Unemployment rate,2022-01-01,8.5
Cabo Verde,Unemployment rate,2023-01-01,8.5
Cabo Verde,Unemployment rate,2024-01-01,8.5
Algeria,Unemployment rate,2012-01-01,10.969
Algeria,Unemployment rate,2013-01-01,9.829
Algeria,Unemployment rate,2014-01-01,10.6
Algeria,Unemployment rate,2015-01-01,11.214
Algeria,Unemployment rate,2016-01-01,10.498
Algeria,Unemployment rate,2017-01-01,11.709
Algeria,Unemployment rate,2018-01-01,11.731
Algeria,Unemployment rate,2019-01-01,11.383
Algeria,Unemployment rate,2020-01-01,14.652
Algeria,Unemployment rate,2021-01-01,13.373
Algeria,Unemployment rate,2022-01-01,11.05
Algeria,Unemployment rate,2023-01-01,9.8
Algeria,Unemployment rate,2024-01-01,9.107
Egypt,Unemployment rate,2012-01-01,12.373
Egypt,Unemployment rate,2013-01-01,12.992
Egypt,Unemployment rate,2014-01-01,13.365
Egypt,Unemployment rate,2015-01-01,12.859
Egypt,Unemployment rate,2016-01-01,12.705
Egypt,Unemployment rate,2017-01-01,12.245
Egypt,Unemployment rate,2018-01-01,10.932
Egypt,Unemployment rate,2019-01-01,8.612
Egypt,Unemployment rate,2020-01-01,8.296
Egypt,Unemployment rate,2021-01-01,7.292
Egypt,Unemployment rate,2022-01-01,6.882
Egypt,Unemployment rate,2023-01-01,6.929
Egypt,Unemployment rate,2024-01-01,6.943
Morocco,Unemployment rate,2012-01-01,8.7
Morocco,Unemployment rate,2013-01-01,9.5
Morocco,Unemployment rate,2014-01-01,9.7
Morocco,Unemployment rate,2015-01-01,9.2
Morocco,Unemployment rate,2016-01-01,9.0
Morocco,Unemployment rate,2017-01-01,10.6
Morocco,Unemployment rate,2018-01-01,9.4
Morocco,Unemployment rate,2019-01-01,10.2
Morocco,Unemployment rate,2020-01-01,12.2
Morocco,Unemployment rate,2021-01-01,11.9
Morocco,Unemployment rate,2022-01-01,11.738
Morocco,Unemployment rate,2023-01-01,11.069
Morocco,Unemployment rate,2024-01-01,10.633
Mauritius,Unemployment rate,2012-01-01,8.1
Mauritius,Unemployment rate,2013-01-01,8.0
Mauritius,Unemployment rate,2014-01-01,7.8
Mauritius,Unemployment rate,2015-01-01,7.9
Mauritius,Unemployment rate,2016-01-01,7.3
Mauritius,Unemployment rate,2017-01-01,7.1
Mauritius,Unemployment rate,2018-01-01,6.9
Mauritius,Unemployment rate,2019-01-01,6.7
Mauritius,Unemployment rate,2020-01-01,9.2
Mauritius,Unemployment rate,2021-01-01,9.5
Mauritius,Unemployment rate,2022-01-01,7.8
Mauritius,Unemployment rate,2023-01-01,7.5
Mauritius,Unemployment rate,2024-01-01,7.3
Nigeria,Unemployment rate,2012-01-01,10.566
Nigeria,Unemployment rate,2013-01-01,9.955
Nigeria,Unemployment rate,2014-01-01,7.841
Nigeria,Unemployment rate,2015-01-01,9.0
Nigeria,Unemployment rate,2016-01-01,13.375
Nigeria,Unemployment rate,2017-01-01,17.462
Nigeria,Unemployment rate,2018-01-01,22.562
Sudan,Unemployment rate,2012-01-01,14.8
Sudan,Unemployment rate,2013-01-01,15.2
Sudan,Unemployment rate,2014-01-01,19.8
Sudan,Unemployment rate,2015-01-01,21.6
Sudan,Unemployment rate,2016-01-01,20.6
