name,year,Total ODA (USD million),Real year-on-year change
Australia,2021,3444.35,-0.94%
Austria,2021,1459.8,
Belgium,2021,2571.4,4.24%
Canada,2021,6270.58,15.80%
Czech Republic,2021,361.74,4.02%
"DAC Countries, Total",2021,178916.15,4.24%
Denmark,2021,2874.47,2.28%
EU Institutions,2021,19027.16,
Finland,2021,1435.82,15.57%
France,2021,15447.52,21.42%
Germany,2021,32232.02,5.00%
Greece,2021,263.83,
Hungary,2021,455.03,33.67%
Iceland,2021,71.92,0.95%
Ireland,2021,1168.8,15.86%
Italy,2021,6016.81,25.77%
Japan,2021,17618.9,
Luxembourg,2021,538.89,
Netherlands,2021,5287.55,-7.15%
New Zealand,2021,681.0,13.80%
Norway,2021,4673.14,-11.62%
Poland,2021,952.33,14.01%
Portugal,2021,449.66,0.84%
Slovakia,2021,150.71,0.62%
Slovenia,2021,114.81,
South Korea,2021,2855.04,10.21%
Spain,2021,3541.94,
Sweden,2021,5926.63,-9.19%
Switzerland,2021,3926.52,15.74%
United Kingdom,2021,15813.57,
United States,2021,42311.37,14.36%
