date,iso_code,indicator,indicator_code,value
2020-01-01,FIN,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,1.9
2020-01-01,FJI,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,23.0
2020-01-01,FRA,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,3.4
2020-01-01,FSM,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,20.9
2020-01-01,GAB,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,30.7
2020-01-01,GBR,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,3.6
2020-01-01,GEO,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,8.2
2020-01-01,GHA,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,33.0
2020-01-01,GIN,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,62.0
2020-01-01,GMB,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,34.7
2020-01-01,GNB,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,51.4
2020-01-01,GNQ,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,58.3
2020-01-01,GRC,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,3.6
2020-01-01,GRD,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,14.5
2020-01-01,GTM,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,20.1
2020-01-01,GUY,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,23.8
2020-01-01,HIC,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,4.1
2020-01-01,HND,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,13.9
2020-01-01,HPC,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,45.6311357179348
2020-01-01,HRV,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,3.9
2020-01-01,HTI,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,46.7
2020-01-01,HUN,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,3.4
2020-01-01,IBD,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,17.251109252423
2020-01-01,IBT,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,29.6129036624451
2020-01-01,IDA,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,47.5818772701834
2020-01-01,IDB,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,57.1407046651619
2020-01-01,IDN,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,19.5
2020-01-01,IDX,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,42.6395771840764
2020-01-01,IND,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,27.0
2020-01-01,IRL,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,2.6
2020-01-01,IRN,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,11.1
2020-01-01,IRQ,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,21.3
2020-01-01,ISL,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,1.5
2020-01-01,ISR,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,2.9
2020-01-01,ITA,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,2.5
2020-01-01,JAM,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,11.4
2020-01-01,JOR,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,12.9
2020-01-01,JPN,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,1.8
2020-01-01,KAZ,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,8.9
2020-01-01,KEN,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,31.2
2020-01-01,KGZ,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,15.7
2020-01-01,KHM,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,22.0
2020-01-01,KIR,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,39.2
2020-01-01,KNA,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,12.6
2020-01-01,KOR,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,2.6
2020-01-01,KWT,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,7.6
2020-01-01,LAC,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,13.6717021875404
2020-01-01,LAO,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,35.3
2020-01-01,LBN,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,6.0
2020-01-01,LBR,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,58.1
2020-01-01,LBY,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,9.5
2020-01-01,LCA,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,22.0
2020-01-01,LCN,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,13.8
2020-01-01,LDC,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,43.5792861487948
2020-01-01,LIC,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,47.0
2020-01-01,LKA,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,5.9
2020-01-01,LMC,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,33.9
2020-01-01,LMY,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,29.7380277140609
2020-01-01,LSO,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,69.9
2020-01-01,LTE,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,7.66516992182274
2020-01-01,LTU,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,2.7
2020-01-01,LUX,SP.DYN.IMRT.IN,SP.DYN.IMRT.IN,2.3
