Code,Income group
BHS,High income
BHR,High income
LTU,High income
MNP,High income
EST,High income
RUS,High income
GUY,High income
SYC,High income
POL,High income
TCA,High income
SGP,High income
QAT,High income
USA,High income
DNK,High income
MCO,High income
NCL,High income
MLT,High income
PAN,High income
SVN,High income
NLD,High income
GBR,High income
LUX,High income
BRN,High income
KNA,High income
PYF,High income
ISL,High income
ASM,High income
PLW,High income
GRL,High income
SAU,High income
NRU,High income
BRB,High income
ARE,High income
ATG,High income
GRC,High income
PRI,High income
CZE,High income
VGB,High income
LVA,High income
GIB,High income
CAN,High income
PRT,High income
NOR,High income
SVK,High income
SMR,High income
CUW,High income
IMN,High income
KWT,High income
VIR,High income
HKG,High income
HRV,High income
FRA,High income
OMN,High income
ROU,High income
ITA,High income
HUN,High income
BMU,High income
MAC,High income
BEL,High income
ABW,High income
FIN,High income
AUS,High income
AUT,High income
LIE,High income
GUM,High income
KOR,High income
CHL,High income
TTO,High income
SXM,High income
CHE,High income
MAF,High income
CHI,High income
CYM,High income
URY,High income
FRO,High income
NZL,High income
JPN,High income
SWE,High income
ISR,High income
DEU,High income
IRL,High income
BGR,High income
ESP,High income
AND,High income
CYP,High income
VEN,Not classified
MWI,Low income
AFG,Low income
LBR,Low income
GMB,Low income
UGA,Low income
SYR,Low income
TGO,Low income
RWA,Low income
COD,Low income
CAF,Low income
MOZ,Low income
ETH,Low income
SSD,Low income
SDN,Low income
MLI,Low income
YEM,Low income
BDI,Low income
GNB,Low income
BFA,Low income
MDG,Low income
PRK,Low income
ERI,Low income
NER,Low income
SLE,Low income
TCD,Low income
SOM,Low income
NIC,Lower middle income
EGY,Lower middle income
KEN,Lower middle income
LBN,Lower middle income
JOR,Lower middle income
GHA,Lower middle income
HTI,Lower middle income
IND,Lower middle income
NGA,Lower middle income
MRT,Lower middle income
TUN,Lower middle income
AGO,Lower middle income
DJI,Lower middle income
LSO,Lower middle income
BEN,Lower middle income
LKA,Lower middle income
WSM,Lower middle income
UZB,Lower middle income
BGD,Lower middle income
COG,Lower middle income
PSE,Lower middle income
SLB,Lower middle income
PNG,Lower middle income
ZMB,Lower middle income
KIR,Lower middle income
KHM,Lower middle income
NPL,Lower middle income
BTN,Lower middle income
TJK,Lower middle income
BOL,Lower middle income
SEN,Lower middle income
VNM,Lower middle income
KGZ,Lower middle income
FSM,Lower middle income
MMR,Lower middle income
CMR,Lower middle income
TZA,Lower middle income
HND,Lower middle income
CIV,Lower middle income
TLS,Lower middle income
PHL,Lower middle income
COM,Lower middle income
CPV,Lower middle income
GIN,Lower middle income
MAR,Lower middle income
SWZ,Lower middle income
STP,Lower middle income
LAO,Lower middle income
ZWE,Lower middle income
PAK,Lower middle income
VUT,Lower middle income
IRQ,Upper middle income
JAM,Upper middle income
VCT,Upper middle income
MNE,Upper middle income
IDN,Upper middle income
SRB,Upper middle income
DOM,Upper middle income
ECU,Upper middle income
GRD,Upper middle income
DMA,Upper middle income
FJI,Upper middle income
GEO,Upper middle income
ARM,Upper middle income
MKD,Upper middle income
ALB,Upper middle income
UKR,Upper middle income
MHL,Upper middle income
MEX,Upper middle income
CHN,Upper middle income
TON,Upper middle income
BLR,Upper middle income
GNQ,Upper middle income
IRN,Upper middle income
THA,Upper middle income
TUV,Upper middle income
MDA,Upper middle income
BWA,Upper middle income
BLZ,Upper middle income
AZE,Upper middle income
TUR,Upper middle income
LBY,Upper middle income
ARG,Upper middle income
BRA,Upper middle income
DZA,Upper middle income
SLV,Upper middle income
GTM,Upper middle income
SUR,Upper middle income
MDV,Upper middle income
PRY,Upper middle income
PER,Upper middle income
NAM,Upper middle income
KAZ,Upper middle income
CUB,Upper middle income
CRI,Upper middle income
GAB,Upper middle income
XKX,Upper middle income
COL,Upper middle income
TKM,Upper middle income
ZAF,Upper middle income
BIH,Upper middle income
MUS,Upper middle income
MYS,Upper middle income
MNG,Upper middle income
LCA,Upper middle income
