date,iso_code,indicator,indicator_code,value
2017-01-01,AFE,SH.STA.MMRT,SH.STA.MMRT,398.0
2017-01-01,AFG,SH.STA.MMRT,SH.STA.MMRT,638.0
2017-01-01,AFW,SH.STA.MMRT,SH.STA.MMRT,717.0
2017-01-01,AGO,SH.STA.MMRT,SH.STA.MMRT,241.0
2017-01-01,ALB,SH.STA.MMRT,SH.STA.MMRT,15.0
2017-01-01,ARB,SH.STA.MMRT,SH.STA.MMRT,149.0
2017-01-01,ARE,SH.STA.MMRT,SH.STA.MMRT,3.0
2017-01-01,ARG,SH.STA.MMRT,SH.STA.MMRT,39.0
2017-01-01,ARM,SH.STA.MMRT,SH.STA.MMRT,26.0
2017-01-01,ATG,SH.STA.MMRT,SH.STA.MMRT,42.0
2017-01-01,AUS,SH.STA.MMRT,SH.STA.MMRT,6.0
2017-01-01,AUT,SH.STA.MMRT,SH.STA.MMRT,5.0
2017-01-01,AZE,SH.STA.MMRT,SH.STA.MMRT,26.0
2017-01-01,BDI,SH.STA.MMRT,SH.STA.MMRT,548.0
2017-01-01,BEL,SH.STA.MMRT,SH.STA.MMRT,5.0
2017-01-01,BEN,SH.STA.MMRT,SH.STA.MMRT,397.0
2017-01-01,BFA,SH.STA.MMRT,SH.STA.MMRT,320.0
2017-01-01,BGD,SH.STA.MMRT,SH.STA.MMRT,173.0
2017-01-01,BGR,SH.STA.MMRT,SH.STA.MMRT,10.0
2017-01-01,BHR,SH.STA.MMRT,SH.STA.MMRT,14.0
2017-01-01,BHS,SH.STA.MMRT,SH.STA.MMRT,70.0
2017-01-01,BIH,SH.STA.MMRT,SH.STA.MMRT,10.0
2017-01-01,BLR,SH.STA.MMRT,SH.STA.MMRT,2.0
2017-01-01,BLZ,SH.STA.MMRT,SH.STA.MMRT,36.0
2017-01-01,BOL,SH.STA.MMRT,SH.STA.MMRT,155.0
2017-01-01,BRA,SH.STA.MMRT,SH.STA.MMRT,60.0
2017-01-01,BRB,SH.STA.MMRT,SH.STA.MMRT,27.0
2017-01-01,BRN,SH.STA.MMRT,SH.STA.MMRT,31.0
2017-01-01,BTN,SH.STA.MMRT,SH.STA.MMRT,183.0
2017-01-01,BWA,SH.STA.MMRT,SH.STA.MMRT,144.0
2017-01-01,CAF,SH.STA.MMRT,SH.STA.MMRT,829.0
2017-01-01,CAN,SH.STA.MMRT,SH.STA.MMRT,10.0
2017-01-01,CEB,SH.STA.MMRT,SH.STA.MMRT,8.0
2017-01-01,CHE,SH.STA.MMRT,SH.STA.MMRT,5.0
2017-01-01,CHL,SH.STA.MMRT,SH.STA.MMRT,13.0
2017-01-01,CHN,SH.STA.MMRT,SH.STA.MMRT,29.0
2017-01-01,CIV,SH.STA.MMRT,SH.STA.MMRT,617.0
2017-01-01,CMR,SH.STA.MMRT,SH.STA.MMRT,529.0
2017-01-01,COD,SH.STA.MMRT,SH.STA.MMRT,473.0
2017-01-01,COG,SH.STA.MMRT,SH.STA.MMRT,378.0
2017-01-01,COL,SH.STA.MMRT,SH.STA.MMRT,83.0
2017-01-01,COM,SH.STA.MMRT,SH.STA.MMRT,273.0
2017-01-01,CPV,SH.STA.MMRT,SH.STA.MMRT,58.0
2017-01-01,CRI,SH.STA.MMRT,SH.STA.MMRT,27.0
2017-01-01,CSS,SH.STA.MMRT,SH.STA.MMRT,88.0
2017-01-01,CUB,SH.STA.MMRT,SH.STA.MMRT,36.0
2017-01-01,CYP,SH.STA.MMRT,SH.STA.MMRT,6.0
2017-01-01,CZE,SH.STA.MMRT,SH.STA.MMRT,3.0
2017-01-01,DEU,SH.STA.MMRT,SH.STA.MMRT,7.0
2017-01-01,DJI,SH.STA.MMRT,SH.STA.MMRT,248.0
2017-01-01,DNK,SH.STA.MMRT,SH.STA.MMRT,4.0
