date,iso_code,indicator,indicator_code,value
2020-01-01,ABW,SP.DYN.TFRT.IN,SP.DYN.TFRT.IN,1.901
2020-01-01,AFE,SP.DYN.TFRT.IN,SP.DYN.TFRT.IN,4.28185576301786
2020-01-01,AFG,SP.DYN.TFRT.IN,SP.DYN.TFRT.IN,4.176
2020-01-01,AFW,SP.DYN.TFRT.IN,SP.DYN.TFRT.IN,4.9765459267046
2020-01-01,AGO,SP.DYN.TFRT.IN,SP.DYN.TFRT.IN,5.371
2020-01-01,ALB,SP.DYN.TFRT.IN,SP.DYN.TFRT.IN,1.58
2010-01-01,AND,SP.DYN.TFRT.IN,SP.DYN.TFRT.IN,1.27
2020-01-01,ARB,SP.DYN.TFRT.IN,SP.DYN.TFRT.IN,3.14575669988306
2020-01-01,ARE,SP.DYN.TFRT.IN,SP.DYN.TFRT.IN,1.369
2020-01-01,ARG,SP.DYN.TFRT.IN,SP.DYN.TFRT.IN,2.233
2020-01-01,ARM,SP.DYN.TFRT.IN,SP.DYN.TFRT.IN,1.76
2020-01-01,ATG,SP.DYN.TFRT.IN,SP.DYN.TFRT.IN,1.978
2020-01-01,AUS,SP.DYN.TFRT.IN,SP.DYN.TFRT.IN,1.581
2020-01-01,AUT,SP.DYN.TFRT.IN,SP.DYN.TFRT.IN,1.44
2020-01-01,AZE,SP.DYN.TFRT.IN,SP.DYN.TFRT.IN,1.7
2020-01-01,BDI,SP.DYN.TFRT.IN,SP.DYN.TFRT.IN,5.237
2020-01-01,BEL,SP.DYN.TFRT.IN,SP.DYN.TFRT.IN,1.55
2020-01-01,BEN,SP.DYN.TFRT.IN,SP.DYN.TFRT.IN,4.7
2020-01-01,BFA,SP.DYN.TFRT.IN,SP.DYN.TFRT.IN,5.029
2020-01-01,BGD,SP.DYN.TFRT.IN,SP.DYN.TFRT.IN,1.987
2020-01-01,BGR,SP.DYN.TFRT.IN,SP.DYN.TFRT.IN,1.56
2020-01-01,BHR,SP.DYN.TFRT.IN,SP.DYN.TFRT.IN,1.942
2020-01-01,BHS,SP.DYN.TFRT.IN,SP.DYN.TFRT.IN,1.733
2020-01-01,BIH,SP.DYN.TFRT.IN,SP.DYN.TFRT.IN,1.243
2020-01-01,BLR,SP.DYN.TFRT.IN,SP.DYN.TFRT.IN,1.382
2020-01-01,BLZ,SP.DYN.TFRT.IN,SP.DYN.TFRT.IN,2.246
