value,country_name
101.26,Angola
24.69,Burundi
33.88,Benin
56.76,Burkina Faso
47.92,Central African Republic
86.15,Côte d'Ivoire
71.98,Cameroon
24.39,DR Congo
50.61,Congo Republic
122.94,Comoros
285.97,Cabo Verde
81.81,Djibouti
170.98,Egypt
27.08,Eritrea
27.07,Ethiopia
82.32,Ghana
55.04,Guinea
28.9,Gambia
66.05,Guinea-Bissau
90.44,Kenya
99.65,Liberia
133.7,Lesotho
199.21,Morocco
16.32,Madagascar
29.74,Mali
49.47,Mozambique
90.42,Mauritania
39.66,Malawi
26.51,Niger
90.92,Nigeria
76.84,Rwanda
31.58,Sudan
63.73,Senegal
39.32,Sierra Leone
15.35,Somalia
49.41,South Sudan
180.33,Sao Tome
283.88,Eswatini
40.17,Chad
54.01,Togo
265.85,Tunisia
35.65,Tanzania
44.15,Uganda
76.06,Zambia
70.66,Zimbabwe
