year,Africa,DRC,Global,Nigeria,Rest of the world
2000,839720.0,100494.0,895555.0,249308.0,55835.0
2001,837574.0,100192.0,891745.0,242521.0,54171.0
2002,796770.0,101603.0,848042.0,230496.0,51272.0
2003,773527.0,105469.0,824547.0,226464.0,51020.0
2004,749963.0,112034.0,803391.0,226562.0,53428.0
2005,723264.0,112725.0,777901.0,230356.0,54637.0
2006,714573.0,115483.0,764206.0,232391.0,49633.0
2007,697946.0,111542.0,744841.0,229172.0,46895.0
2008,678129.0,106681.0,725008.0,221424.0,46879.0
2009,671207.0,101421.0,720691.0,210258.0,49484.0
2010,645874.0,91831.0,697948.0,197589.0,52074.0
2011,607628.0,79887.0,651325.0,184090.0,43697.0
2012,575258.0,67528.0,614215.0,173305.0,38957.0
2013,555751.0,59293.0,588576.0,168902.0,32825.0
2014,534225.0,56829.0,569324.0,165149.0,35099.0
2015,527099.0,58167.0,562352.0,163058.0,35253.0
2016,528332.0,63964.0,566171.0,165653.0,37839.0
2017,542464.0,67792.0,574419.0,176528.0,31955.0
2018,533041.0,65555.0,558402.0,186937.0,25361.0
2019,534201.0,65331.0,557816.0,187437.0,23615.0
2020,602020.0,82511.0,626868.0,199689.0,24848.0
