year,Total
2009,18545900000.0
2010,17282500000.0
2011,20082500000.0
2012,23338100000.0
2013,29279700000.0
2014,30910600000.0
2015,38993200000.0
2016,36429900000.0
2017,38451600000.0
2018,54585600000.0
2019,53290600000.0
2020,56825700000.0
2021,68891000000.0
2022,67480600000.00001
2023,76771600000.0
2024,89386000000.0
2025,79491900000.0
2026,69425900000.0
2027,64127500000.0
2028,60764100000.0
