year,Total
2009,220512800000.00003
2010,231716900000.0
2011,252750400000.0
2012,283090100000.0
2013,323297800000.0
2014,349394700000.0
2015,367771500000.0
2016,413930899999.99994
2017,489791899999.99994
2018,531972000000.0
2019,586881700000.0
2020,636372800000.0
2021,653745600000.0
2022,657758700000.0001
2023,687965200000.0
