year,Africa,Algeria,Angola,Benin,Botswana,Burkina Faso,Burundi,Cabo Verde,Cameroon,Central African Republic,Chad,Comoros,Congo Republic,Côte d'Ivoire,DR Congo,Djibouti,Egypt,Equatorial Guinea,Eritrea,Eswatini,Ethiopia,Gabon,Gambia,Ghana,Guinea,Guinea-Bissau,Kenya,Lesotho,Liberia,Madagascar,Malawi,Mali,Mauritania,Mauritius,Morocco,Mozambique,Niger,Nigeria,Rwanda,Sao Tome and Principe,Senegal,Sierra Leone,South Africa,Sudan,Tanzania,Togo,Tunisia,Uganda,Zambia,Zimbabwe
2009,0.04284,0.00768,0.11161,0.02631,0.00853,0.02166,0.01794,0.05518,0.0343,0.03127,0.02658,0.08178,0.07336,0.15964,0.20234,0.06378,0.04405,,0.03706,0.0466,0.01932,0.15329,0.09129,0.0359,0.09674,0.10535,0.04017,0.02494,0.03808,0.03492,0.02119,0.02904,0.083,0.04629,0.06203,0.01463,0.02246,0.00913,0.00869,0.02149,0.04052,0.01656,0.03379,0.04665,0.00934,0.07804,0.16444,0.02371,0.0259,0.01254
2010,0.03483,0.00622,0.06936,0.02881,0.01403,0.02209,0.0047,0.05018,0.03566,0.00541,0.02367,0.03566,0.03932,0.09973,0.06211,0.07442,0.04031,,0.03942,0.03834,0.03521,0.13561,0.10865,0.03101,0.04906,0.055,0.03581,0.02087,0.00873,0.04388,0.01026,0.03142,0.11491,0.03662,0.07237,0.02831,0.01553,0.00494,0.00952,0.01519,0.0423,0.01688,0.0274,0.04245,0.01404,0.05107,0.17662,0.01602,0.01754,0.00699
2011,0.03523,0.00573,0.06701,0.02718,0.01305,0.02597,0.00763,0.05651,0.03482,0.00319,0.02741,0.02884,0.0297,0.08842,0.06984,0.08162,0.04698,,0.03258,0.04118,0.06147,0.10353,0.11617,0.02919,0.15822,0.02796,0.04129,0.02165,0.0043,0.03005,0.01115,0.02545,0.1075,0.03475,0.06422,0.0187,0.0193,0.00484,0.01077,0.01151,0.05962,0.02054,0.02931,0.04293,0.0126,0.01601,0.17393,0.01706,0.01622,0.0068
2012,0.03919,0.00731,0.09076,0.03535,0.01063,0.02288,0.01473,0.05495,0.02232,0.01161,0.02683,0.05166,0.03066,0.05012,0.05584,0.07828,0.03437,,0.12377,0.03552,0.06098,0.10292,0.09795,0.03433,0.05981,0.04111,0.03816,0.02456,0.00559,0.04455,0.01525,0.0301,0.1027,0.03493,0.06766,0.01916,0.02171,0.00363,0.01095,0.09687,0.05641,0.01733,0.04813,0.04397,0.01284,0.0231,0.15902,0.01634,0.02697,0.00587
2013,0.04765,0.00389,0.09717,0.0435,0.03833,0.02158,0.02506,0.05924,0.02267,0.01676,0.03938,0.00363,0.05653,0.07723,0.082,0.07316,0.03306,,0.13529,0.02894,0.07887,0.18958,0.12184,0.04134,0.02443,0.01741,0.03147,0.02843,0.00731,0.03606,0.02235,0.04024,0.11267,0.03122,0.08266,0.04837,0.03105,0.00532,0.01824,0.05444,0.06004,0.02196,0.07267,0.0353,0.01919,0.04086,0.12517,0.01851,0.0388,0.03158
2014,0.04806,0.0027,0.13294,0.03767,0.01016,0.03018,0.01247,0.07424,0.06618,0.01844,0.19105,0.00479,0.0552,0.07985,0.07206,0.05577,0.05369,,0.07681,0.02438,0.07926,0.11982,0.19375,0.0625,0.02919,0.02262,0.07678,0.03296,0.01374,0.04783,0.02689,0.03497,0.15087,0.04959,0.07546,0.04022,0.04027,0.00343,0.02336,0.11969,0.04984,0.02535,0.03964,0.0303,0.0277,0.0347,0.12669,0.02028,0.03188,0.03446
2015,0.06888,0.00245,0.20721,0.03352,0.03045,0.04093,0.01307,0.08264,0.05963,0.01436,0.04989,0.03856,0.08245,0.05265,0.04987,0.04198,0.03267,,0.04979,0.02483,0.09689,0.14617,0.13307,0.10156,0.02414,0.02702,0.04055,0.04528,0.00444,0.08141,0.02643,0.03815,0.14854,0.04419,0.08117,0.05752,0.03293,0.00727,0.02491,0.01652,0.05886,0.02472,0.15195,0.06437,0.04061,0.03385,0.12619,0.01924,0.05446,0.03811
2016,0.06939,0.00247,0.4186,0.04854,0.03079,0.03845,0.0229,0.08864,0.06526,0.02622,0.11012,0.0235,0.08371,0.12226,0.06623,0.08368,0.05633,,0.03725,0.03031,0.09043,0.11972,0.13204,0.13442,0.04093,0.03524,0.04064,0.04549,0.00395,0.05994,0.03261,0.03855,0.18521,0.04989,0.09505,0.0739,0.052,0.00897,0.02965,0.01599,0.05777,0.0387,0.05884,0.04364,0.07317,0.04763,0.13671,0.02211,0.10246,0.03227
2017,0.07213,0.00241,0.27598,0.03844,0.0308,0.03142,0.01387,0.09072,0.05968,0.06409,0.11075,0.00985,0.12905,0.18371,0.06101,0.09221,0.08155,,0.03152,0.02957,0.1024,0.22894,0.10117,0.16837,0.04447,0.05489,0.05684,0.0404,0.00798,0.05816,0.02653,0.04116,0.21954,0.08847,0.10104,0.06758,0.05836,0.00763,0.03157,0.0318,0.09265,0.04406,0.0486,0.03739,0.07897,0.07276,0.18399,0.0345,0.08683,0.02328
2018,0.09755,0.00209,0.44327,0.08878,0.02865,0.03005,0.01405,0.09206,0.08415,0.03039,0.11939,0.01947,0.17774,0.10787,0.0404,0.07881,0.10489,,0.05031,0.02917,0.12194,0.24707,0.12915,0.1713,0.05813,0.05811,0.10242,0.0459,0.01144,0.05105,0.02861,0.04642,0.2554,0.04662,0.08741,0.07405,0.04327,0.02652,0.03159,0.03697,0.10401,0.04046,0.12855,0.03689,0.09633,0.06256,0.15714,0.05824,0.11167,0.01192
