date,Sub-Saharan Africa,World
2000-01-01,792.0,339.0
2001-01-01,777.0,334.0
2002-01-01,763.0,322.0
2003-01-01,736.0,312.0
2004-01-01,719.0,305.0
2005-01-01,702.0,296.0
2006-01-01,683.0,281.0
2007-01-01,676.0,275.0
2008-01-01,672.0,270.0
2009-01-01,660.0,263.0
2010-01-01,648.0,254.0
2011-01-01,622.0,247.0
2012-01-01,606.0,237.0
2013-01-01,598.0,235.0
2014-01-01,589.0,230.0
2015-01-01,571.0,227.0
2016-01-01,561.0,223.0
2017-01-01,550.0,222.0
2018-01-01,540.0,224.0
2019-01-01,528.0,225.0
2020-01-01,511.0,223.0
