year,donor_name,covid_oda
2020,Austria,42.70693102
2020,Belgium,145.6270756
2020,Denmark,622.3133342
2020,France,1009.333511
2020,Germany,3889.85433
2020,Italy,123.2462706
2020,Netherlands,374.6955079
2020,Norway,338.0313883
2020,Portugal,7.986999599
2020,Sweden,534.70183
2020,Switzerland,509.8317393
2020,United Kingdom,2621.381801
2020,Finland,70.74766445
2020,Iceland,7.802200748
2020,Ireland,61.03228908
2020,Luxembourg,5.158447215
2020,Greece,3.918194
2020,Spain,197.0780317
2020,Slovenia,3.577394343
2020,Czechia,12.87020695
2020,Slovak Republic,3.835895558
2020,Hungary,40.18399307
2020,Poland,38.62727673
2020,Estonia,3.718866628
2020,Lithuania,2.729738532
2020,Canada,435.642184
2020,United States,1291.17938
2020,Japan,1798.375713
2020,Korea,450.6979643
2020,Australia,1281.578619
2020,New Zealand,49.99848769
2021,Austria,219.3816341
2021,Belgium,319.1772432
2021,Denmark,260.9943439
2021,France,2062.015462
2021,Germany,5226.643166
2021,Italy,1132.496345
2021,Netherlands,519.0827013
2021,Norway,368.1368088
2021,Portugal,116.7357125
2021,Sweden,564.5490109
2021,Switzerland,505.0716437
2021,United Kingdom,2240.156722
2021,Finland,141.4977437
2021,Iceland,10.2233604
2021,Ireland,146.920751
2021,Luxembourg,32.64367127
2021,Greece,122.834299
2021,Spain,1048.145711
2021,Slovenia,31.10935342
2021,Czechia,90.51008397
2021,Slovak Republic,42.11852872
2021,Hungary,103.015856
2021,Poland,261.6568961
2021,Estonia,14.60433728
2021,Lithuania,21.81547111
2021,Canada,1858.317855
2021,United States,2780.077702
2021,Japan,2511.019752
2021,Korea,419.7372764
2021,Australia,1680.085404
2021,New Zealand,158.6681974
2022,Austria,145.4825131
2022,Belgium,438.1172606
2022,Denmark,133.9328583
2022,France,1812.07532
2022,Germany,4054.214595
2022,Italy,829.0963014
2022,Netherlands,461.1975681
2022,Norway,116.6342961
2022,Portugal,84.95564324
2022,Sweden,302.8493198
2022,Switzerland,88.85651771
2022,United Kingdom,1108.203954
2022,Finland,97.30238471
2022,Iceland,0.361189641
2022,Ireland,136.7271436
2022,Luxembourg,24.079738
2022,Greece,78.54226452
2022,Spain,772.7728063
2022,Slovenia,21.12741046
2022,Czechia,75.01821889
2022,Slovak Republic,44.79043044
2022,Hungary,56.59858889
2022,Poland,209.6557945
2022,Estonia,9.93971102
2022,Lithuania,24.16893105
2022,Canada,1038.518703
2022,United States,6218.210967
2022,Japan,2157.819642
2022,Korea,204.6078253
2022,Australia,1027.750192
2022,New Zealand,59.00626501
2023,Austria,103.6788496
2023,Belgium,278.0422588
2023,Denmark,94.54133315
2023,France,1303.034185
2023,Germany,2196.047687
2023,Italy,598.9095088
2023,Netherlands,320.0213041
2023,Norway,85.81349026
2023,Portugal,68.45673912
2023,Sweden,231.409213
2023,Switzerland,59.07306412
2023,United Kingdom,1184.432593
2023,Finland,74.25019823
2023,Iceland,0.253521209
2023,Ireland,121.6951629
2023,Luxembourg,19.60110082
2023,Greece,58.25277848
2023,Spain,429.592503
2023,Slovenia,21.05942059
2023,Czechia,67.33453637
2023,Slovak Republic,40.85860479
2023,Hungary,29.35440159
2023,Poland,201.7174349
2023,Estonia,10.64391035
2023,Lithuania,31.00360289
2023,Canada,585.1859677
2023,United States,1460.302923
2023,Japan,1204.262929
2023,Korea,177.1529295
2023,Australia,906.0453202
2023,New Zealand,14.83325767
