year,donor_code,flows_code,value,indicator
2024,801,1160,3318.64,ODA (grant equivalent)
2024,1,1160,1819.62,ODA (grant equivalent)
2024,2,1160,3221.96,ODA (grant equivalent)
2024,301,1160,7419.64,ODA (grant equivalent)
2024,68,1160,572.25,ODA (grant equivalent)
2024,3,1160,3167.53,ODA (grant equivalent)
2024,82,1160,83.44,ODA (grant equivalent)
2024,18,1160,1408.26,ODA (grant equivalent)
2024,4,1160,15433.22,ODA (grant equivalent)
2024,5,1160,32421.83,ODA (grant equivalent)
2024,40,1160,372.12,ODA (grant equivalent)
2024,75,1160,190.55,ODA (grant equivalent)
2024,20,1160,111.71,ODA (grant equivalent)
2024,21,1160,2469.26,ODA (grant equivalent)
2024,6,1160,6671.86,ODA (grant equivalent)
2024,701,1160,16771.67,ODA (grant equivalent)
2024,742,1160,3942.53,ODA (grant equivalent)
2024,83,1160,111.62,ODA (grant equivalent)
2024,84,1160,193.42,ODA (grant equivalent)
2024,22,1160,596.62,ODA (grant equivalent)
2024,7,1160,7522.73,ODA (grant equivalent)
2024,820,1160,780.75,ODA (grant equivalent)
2024,8,1160,5180.22,ODA (grant equivalent)
2024,76,1160,2064.69,ODA (grant equivalent)
2024,9,1160,654.18,ODA (grant equivalent)
2024,69,1160,191.39,ODA (grant equivalent)
2024,61,1160,164.36,ODA (grant equivalent)
2024,50,1160,4350.47,ODA (grant equivalent)
2024,10,1160,5006.97,ODA (grant equivalent)
2024,11,1160,4602.58,ODA (grant equivalent)
2024,12,1160,17971.33,ODA (grant equivalent)
2024,302,1160,63298.51,ODA (grant equivalent)
2024,918,1160,27665.25,ODA (grant equivalent)
2018,801,1160,3149.0,ODA (grant equivalent)
2018,1,1160,1168.53,ODA (grant equivalent)
2018,2,1160,2311.59,ODA (grant equivalent)
2018,301,1160,4678.86,ODA (grant equivalent)
2018,68,1160,305.36,ODA (grant equivalent)
2018,3,1160,2590.04,ODA (grant equivalent)
2018,82,1160,48.76,ODA (grant equivalent)
2018,18,1160,984.0,ODA (grant equivalent)
2018,4,1160,12136.17,ODA (grant equivalent)
2018,5,1160,24976.64,ODA (grant equivalent)
2018,40,1160,290.44,ODA (grant equivalent)
2018,75,1160,284.94,ODA (grant equivalent)
2018,20,1160,74.21,ODA (grant equivalent)
2018,21,1160,934.25,ODA (grant equivalent)
2018,6,1160,5189.59,ODA (grant equivalent)
2018,701,1160,14163.52,ODA (grant equivalent)
2018,742,1160,2358.25,ODA (grant equivalent)
