year,donor_code,flows_code,value,indicator
2000,1,1140,439.7,ODA (net flows)
2000,2,1140,819.66,ODA (net flows)
2000,3,1140,1664.18,ODA (net flows)
2000,4,1140,4104.71,ODA (net flows)
2000,5,1140,5030.0,ODA (net flows)
2000,6,1140,1376.26,ODA (net flows)
2000,7,1140,3134.78,ODA (net flows)
2000,8,1140,1263.56,ODA (net flows)
2000,9,1140,270.62,ODA (net flows)
2000,10,1140,1798.95,ODA (net flows)
2000,11,1140,890.37,ODA (net flows)
2000,12,1140,4501.26,ODA (net flows)
2000,18,1140,370.84,ODA (net flows)
2000,20,1140,8.61,ODA (net flows)
2000,21,1140,234.0,ODA (net flows)
2000,22,1140,122.97,ODA (net flows)
2000,40,1140,226.0,ODA (net flows)
2000,50,1140,1194.82,ODA (net flows)
2000,68,1140,16.16,ODA (net flows)
2000,69,1140,5.86,ODA (net flows)
2000,76,1140,28.81,ODA (net flows)
2000,82,1140,0.52,ODA (net flows)
2000,301,1140,1743.6,ODA (net flows)
2000,302,1140,9954.89,ODA (net flows)
2000,701,1140,13507.96,ODA (net flows)
2000,742,1140,212.07,ODA (net flows)
2000,801,1140,987.14,ODA (net flows)
2000,820,1140,113.22,ODA (net flows)
2000,918,1140,4912.25,ODA (net flows)
2001,1,1140,633.09,ODA (net flows)
2001,2,1140,867.32,ODA (net flows)
2001,3,1140,1634.42,ODA (net flows)
2001,4,1140,4198.03,ODA (net flows)
2001,5,1140,4989.5,ODA (net flows)
2001,6,1140,1626.95,ODA (net flows)
2001,7,1140,3172.49,ODA (net flows)
2001,8,1140,1345.91,ODA (net flows)
2001,9,1140,268.45,ODA (net flows)
2001,10,1140,1665.6,ODA (net flows)
2001,11,1140,908.21,ODA (net flows)
2001,12,1140,4566.2,ODA (net flows)
2001,18,1140,389.0,ODA (net flows)
2001,20,1140,9.73,ODA (net flows)
2001,21,1140,286.53,ODA (net flows)
2001,22,1140,138.94,ODA (net flows)
2001,40,1140,201.54,ODA (net flows)
2001,50,1140,1737.04,ODA (net flows)
2001,68,1140,26.49,ODA (net flows)
2001,69,1140,8.28,ODA (net flows)
2001,76,1140,35.56,ODA (net flows)
2001,82,1140,0.49,ODA (net flows)
2001,84,1140,1.75,ODA (net flows)
2001,301,1140,1532.75,ODA (net flows)
2001,302,1140,11429.35,ODA (net flows)
2001,701,1140,9846.82,ODA (net flows)
2001,742,1140,264.65,ODA (net flows)
2001,801,1140,872.78,ODA (net flows)
2001,820,1140,111.66,ODA (net flows)
2001,918,1140,5961.29,ODA (net flows)
2002,1,1140,520.16,ODA (net flows)
2002,2,1140,1071.59,ODA (net flows)
2002,3,1140,1643.24,ODA (net flows)
2002,4,1140,5486.15,ODA (net flows)
2002,5,1140,5324.43,ODA (net flows)
2002,6,1140,2332.13,ODA (net flows)
2002,7,1140,3338.01,ODA (net flows)
2002,8,1140,1696.09,ODA (net flows)
2002,9,1140,322.58,ODA (net flows)
2002,10,1140,2011.56,ODA (net flows)
2002,11,1140,938.87,ODA (net flows)
2002,12,1140,4929.04,ODA (net flows)
2002,18,1140,462.19,ODA (net flows)
2002,20,1140,12.65,ODA (net flows)
2002,21,1140,397.75,ODA (net flows)
2002,22,1140,146.76,ODA (net flows)
2002,40,1140,276.13,ODA (net flows)
2002,50,1140,1712.21,ODA (net flows)
2002,68,1140,45.43,ODA (net flows)
2002,69,1140,6.68,ODA (net flows)
2002,76,1140,14.26,ODA (net flows)
2002,82,1140,1.25,ODA (net flows)
2002,84,1140,1.64,ODA (net flows)
2002,301,1140,2004.16,ODA (net flows)
2002,302,1140,13290.07,ODA (net flows)
2002,701,1140,9282.96,ODA (net flows)
2002,742,1140,278.78,ODA (net flows)
2002,801,1140,988.74,ODA (net flows)
2002,820,1140,121.86,ODA (net flows)
2002,918,1140,5448.13,ODA (net flows)
2003,1,1140,504.78,ODA (net flows)
2003,2,1140,1853.4,ODA (net flows)
2003,3,1140,1748.16,ODA (net flows)
2003,4,1140,7253.09,ODA (net flows)
2003,5,1140,6784.18,ODA (net flows)
2003,6,1140,2432.85,ODA (net flows)
2003,7,1140,3972.17,ODA (net flows)
2003,8,1140,2043.87,ODA (net flows)
2003,9,1140,319.6,ODA (net flows)
2003,10,1140,2400.11,ODA (net flows)
2003,11,1140,1299.49,ODA (net flows)
2003,12,1140,6261.75,ODA (net flows)
2003,18,1140,558.49,ODA (net flows)
2003,20,1140,17.66,ODA (net flows)
2003,21,1140,503.56,ODA (net flows)
2003,22,1140,193.83,ODA (net flows)
2003,40,1140,362.16,ODA (net flows)
2003,50,1140,1961.26,ODA (net flows)
2003,68,1140,90.55,ODA (net flows)
2003,69,1140,15.07,ODA (net flows)
2003,75,1140,21.23,ODA (net flows)
2003,76,1140,27.14,ODA (net flows)
2003,82,1140,1.08,ODA (net flows)
2003,84,1140,1.91,ODA (net flows)
2003,301,1140,2030.6,ODA (net flows)
2003,302,1140,16319.52,ODA (net flows)
2003,701,1140,8879.66,ODA (net flows)
2003,742,1140,365.91,ODA (net flows)
2003,801,1140,1218.6,ODA (net flows)
2003,820,1140,165.44,ODA (net flows)
2003,918,1140,7173.22,ODA (net flows)
2004,1,1140,677.63,ODA (net flows)
2004,2,1140,1463.31,ODA (net flows)
2004,3,1140,2037.13,ODA (net flows)
2004,4,1140,8472.56,ODA (net flows)
2004,5,1140,7534.21,ODA (net flows)
2004,6,1140,2461.54,ODA (net flows)
2004,7,1140,4203.82,ODA (net flows)
2004,8,1140,2198.29,ODA (net flows)
2004,9,1140,1031.05,ODA (net flows)
2004,10,1140,2722.01,ODA (net flows)
2004,11,1140,1545.44,ODA (net flows)
2004,12,1140,7904.7,ODA (net flows)
2004,18,1140,679.87,ODA (net flows)
2004,20,1140,21.26,ODA (net flows)
2004,21,1140,607.44,ODA (net flows)
2004,22,1140,235.59,ODA (net flows)
2004,40,1140,320.83,ODA (net flows)
2004,50,1140,2436.99,ODA (net flows)
2004,68,1140,108.28,ODA (net flows)
2004,69,1140,28.19,ODA (net flows)
2004,75,1140,70.14,ODA (net flows)
2004,76,1140,117.51,ODA (net flows)
2004,82,1140,4.84,ODA (net flows)
2004,84,1140,9.07,ODA (net flows)
2004,301,1140,2599.13,ODA (net flows)
2004,302,1140,19704.91,ODA (net flows)
2004,701,1140,8922.46,ODA (net flows)
2004,742,1140,423.32,ODA (net flows)
2004,801,1140,1460.13,ODA (net flows)
2004,820,1140,212.1,ODA (net flows)
2004,918,1140,8703.57,ODA (net flows)
2005,1,1140,1573.32,ODA (net flows)
2005,2,1140,1963.36,ODA (net flows)
2005,3,1140,2108.92,ODA (net flows)
2005,4,1140,10026.22,ODA (net flows)
2005,5,1140,10082.16,ODA (net flows)
2005,6,1140,5090.9,ODA (net flows)
2005,7,1140,5114.69,ODA (net flows)
2005,8,1140,2793.64,ODA (net flows)
2005,9,1140,377.12,ODA (net flows)
2005,10,1140,3361.68,ODA (net flows)
2005,11,1140,1771.59,ODA (net flows)
2005,12,1140,10771.7,ODA (net flows)
2005,18,1140,901.94,ODA (net flows)
2005,20,1140,27.26,ODA (net flows)
2005,21,1140,718.94,ODA (net flows)
2005,22,1140,256.39,ODA (net flows)
2005,40,1140,384.22,ODA (net flows)
2005,50,1140,3018.3,ODA (net flows)
2005,61,1140,34.67,ODA (net flows)
2005,68,1140,135.15,ODA (net flows)
2005,69,1140,56.83,ODA (net flows)
2005,75,1140,100.37,ODA (net flows)
2005,76,1140,204.79,ODA (net flows)
2005,82,1140,9.5,ODA (net flows)
2005,84,1140,15.53,ODA (net flows)
2005,301,1140,3756.34,ODA (net flows)
2005,302,1140,27934.74,ODA (net flows)
2005,701,1140,13125.55,ODA (net flows)
2005,742,1140,752.32,ODA (net flows)
2005,801,1140,1680.16,ODA (net flows)
2005,820,1140,273.52,ODA (net flows)
2005,918,1140,9389.96,ODA (net flows)
2006,1,1140,1498.43,ODA (net flows)
2006,2,1140,1976.94,ODA (net flows)
2006,3,1140,2236.12,ODA (net flows)
2006,4,1140,10600.59,ODA (net flows)
2006,5,1140,10434.81,ODA (net flows)
2006,6,1140,3641.08,ODA (net flows)
2006,7,1140,5451.72,ODA (net flows)
2006,8,1140,2945.24,ODA (net flows)
2006,9,1140,396.35,ODA (net flows)
2006,10,1140,3954.96,ODA (net flows)
2006,11,1140,1646.44,ODA (net flows)
2006,12,1140,12459.02,ODA (net flows)
2006,18,1140,834.4,ODA (net flows)
2006,20,1140,41.5,ODA (net flows)
2006,21,1140,1021.66,ODA (net flows)
2006,22,1140,290.71,ODA (net flows)
2006,40,1140,423.99,ODA (net flows)
2006,50,1140,3813.67,ODA (net flows)
2006,61,1140,44.01,ODA (net flows)
2006,68,1140,160.87,ODA (net flows)
2006,69,1140,55.11,ODA (net flows)
2006,75,1140,149.49,ODA (net flows)
2006,76,1140,299.7,ODA (net flows)
2006,82,1140,14.02,ODA (net flows)
2006,84,1140,25.04,ODA (net flows)
2006,301,1140,3683.16,ODA (net flows)
2006,302,1140,23532.14,ODA (net flows)
2006,701,1140,11135.74,ODA (net flows)
2006,742,1140,455.25,ODA (net flows)
2006,801,1140,2123.22,ODA (net flows)
2006,820,1140,258.65,ODA (net flows)
2006,918,1140,10245.2,ODA (net flows)
2007,1,1140,1808.46,ODA (net flows)
2007,2,1140,1950.7,ODA (net flows)
2007,3,1140,2562.23,ODA (net flows)
2007,4,1140,9883.59,ODA (net flows)
2007,5,1140,12290.7,ODA (net flows)
2007,6,1140,3970.62,ODA (net flows)
2007,7,1140,6224.26,ODA (net flows)
2007,8,1140,3734.83,ODA (net flows)
2007,9,1140,470.54,ODA (net flows)
2007,10,1140,4338.94,ODA (net flows)
2007,11,1140,1684.87,ODA (net flows)
2007,12,1140,9848.53,ODA (net flows)
2007,18,1140,981.34,ODA (net flows)
2007,20,1140,48.25,ODA (net flows)
2007,21,1140,1192.15,ODA (net flows)
2007,22,1140,375.53,ODA (net flows)
2007,40,1140,500.82,ODA (net flows)
2007,50,1140,5139.8,ODA (net flows)
2007,61,1140,54.14,ODA (net flows)
2007,68,1140,178.88,ODA (net flows)
2007,69,1140,67.23,ODA (net flows)
2007,75,1140,103.47,ODA (net flows)
2007,76,1140,362.9,ODA (net flows)
2007,82,1140,16.12,ODA (net flows)
2007,84,1140,47.6,ODA (net flows)
2007,301,1140,4079.69,ODA (net flows)
2007,302,1140,21786.9,ODA (net flows)
2007,701,1140,7697.14,ODA (net flows)
2007,742,1140,696.11,ODA (net flows)
2007,801,1140,2668.52,ODA (net flows)
2007,820,1140,319.8,ODA (net flows)
2007,918,1140,11634.23,ODA (net flows)
2008,1,1140,1713.51,ODA (net flows)
2008,2,1140,2385.64,ODA (net flows)
2008,3,1140,2803.28,ODA (net flows)
2008,4,1140,10907.55,ODA (net flows)
2008,5,1140,13980.87,ODA (net flows)
2008,6,1140,4860.64,ODA (net flows)
2008,7,1140,6992.6,ODA (net flows)
2008,8,1140,4005.76,ODA (net flows)
2008,9,1140,620.15,ODA (net flows)
2008,10,1140,4731.75,ODA (net flows)
2008,11,1140,2037.63,ODA (net flows)
2008,12,1140,11499.87,ODA (net flows)
2008,18,1140,1165.73,ODA (net flows)
2008,20,1140,48.41,ODA (net flows)
2008,21,1140,1327.85,ODA (net flows)
2008,22,1140,414.94,ODA (net flows)
2008,40,1140,703.16,ODA (net flows)
2008,50,1140,6866.83,ODA (net flows)
2008,61,1140,67.6,ODA (net flows)
2008,68,1140,249.21,ODA (net flows)
2008,69,1140,91.85,ODA (net flows)
2008,75,1140,106.94,ODA (net flows)
2008,76,1140,372.54,ODA (net flows)
2008,82,1140,22.01,ODA (net flows)
2008,84,1140,47.84,ODA (net flows)
2008,301,1140,4794.71,ODA (net flows)
2008,302,1140,26436.78,ODA (net flows)
2008,701,1140,9600.71,ODA (net flows)
2008,742,1140,802.34,ODA (net flows)
2008,801,1140,2954.07,ODA (net flows)
2008,820,1140,347.96,ODA (net flows)
2008,918,1140,13196.98,ODA (net flows)
2009,1,1140,1141.78,ODA (net flows)
2009,2,1140,2609.6,ODA (net flows)
2009,3,1140,2809.88,ODA (net flows)
2009,4,1140,12601.55,ODA (net flows)
2009,5,1140,12079.15,ODA (net flows)
2009,6,1140,3297.49,ODA (net flows)
2009,7,1140,6426.08,ODA (net flows)
2009,8,1140,4081.23,ODA (net flows)
2009,9,1140,512.7,ODA (net flows)
2009,10,1140,4548.23,ODA (net flows)
2009,11,1140,2310.07,ODA (net flows)
2009,12,1140,11282.61,ODA (net flows)
2009,18,1140,1290.18,ODA (net flows)
