year,donor_code,flows_code,value,indicator
2005,742,1140,790092.65,GNI
2005,801,1140,678650.98,GNI
2005,820,1140,100860.78,GNI
2006,1,1140,319585.85,GNI
2006,2,1140,395970.88,GNI
2006,3,1140,280147.74,GNI
2006,4,1140,2266599.72,GNI
2006,5,1140,2930802.06,GNI
2006,6,1140,1846854.67,GNI
2006,7,1140,676088.87,GNI
2006,8,1140,332680.52,GNI
2006,9,1140,187161.79,GNI
2006,10,1140,385922.31,GNI
2006,11,1140,438525.674,GNI
2006,12,1140,2423548.03,GNI
2006,18,1140,210778.21,GNI
2006,20,1140,15423.0,GNI
2006,21,1140,188887.91,GNI
2006,22,1140,32676.04,GNI
2006,40,1140,245108.57,GNI
2006,50,1140,1210297.48,GNI
2006,61,1140,36855.0,GNI
2006,68,1140,133902.43,GNI
2006,69,1140,53384.29,GNI
2006,75,1140,114914.94,GNI
2006,76,1140,337340.85,GNI
2006,301,1140,1253806.75,GNI
2006,302,1140,13259900.0,GNI
2006,701,1140,4486030.93,GNI
2006,742,1140,887339.0,GNI
2006,801,1140,719553.43,GNI
2006,820,1140,96550.99,GNI
2007,1,1140,363101.89,GNI
2007,2,1140,457796.03,GNI
2007,3,1140,317271.16,GNI
2007,4,1140,2603832.99,GNI
2007,5,1140,3350294.32,GNI
2007,6,1140,2090866.53,GNI
2007,7,1140,770431.21,GNI
2007,8,1140,392350.13,GNI
2007,9,1140,214267.08,GNI
2007,10,1140,464197.85,GNI
2007,11,1140,454419.114,GNI
2007,12,1140,2771820.09,GNI
2007,18,1140,249026.69,GNI
2007,20,1140,18190.9,GNI
2007,21,1140,216152.0,GNI
2007,22,1140,40642.03,GNI
2007,40,1140,308407.94,GNI
2007,50,1140,1400260.1,GNI
2007,61,1140,44954.69,GNI
2007,68,1140,163067.7,GNI
2007,69,1140,72257.52,GNI
2007,75,1140,134285.71,GNI
2007,76,1140,357789.0,GNI
2007,301,1140,1409734.71,GNI
2007,302,1140,13925500.0,GNI
2007,701,1140,4523905.77,GNI
2007,742,1140,971310.1,GNI
2007,801,1140,827212.18,GNI
2007,820,1140,120056.95,GNI
2008,1,1140,400095.36,GNI
2008,2,1140,498460.98,GNI
2008,3,1140,342964.3,GNI
2008,4,1140,2831457.16,GNI
2008,5,1140,3652012.12,GNI
2008,6,1140,2232998.7,GNI
2008,7,1140,868983.12,GNI
2008,8,1140,450578.21,GNI
2008,9,1140,229433.43,GNI
2008,10,1140,483039.65,GNI
2008,11,1140,483158.175,GNI
2008,12,1140,2672096.98,GNI
2008,18,1140,265846.42,GNI
2008,20,1140,13609.78,GNI
2008,21,1140,224879.56,GNI
2008,22,1140,42863.7,GNI
2008,40,1140,333600.17,GNI
2008,50,1140,1537455.65,GNI
2008,61,1140,52356.84,GNI
2008,68,1140,200660.41,GNI
2008,69,1140,91782.85,GNI
2008,75,1140,142316.65,GNI
2008,76,1140,494156.48,GNI
2008,301,1140,1473432.53,GNI
2008,302,1140,14410300.0,GNI
2008,701,1140,5042143.0,GNI
2008,742,1140,934741.2,GNI
2008,801,1140,934808.31,GNI
2008,820,1140,114484.94,GNI
2009,1,1140,378024.48,GNI
2009,2,1140,474489.63,GNI
2009,3,1140,319162.07,GNI
2009,4,1140,2677753.95,GNI
2009,5,1140,3403356.08,GNI
2009,6,1140,2081292.3,GNI
2009,7,1140,783177.83,GNI
2009,8,1140,385553.8,GNI
2009,9,1140,218909.07,GNI
2009,10,1140,405581.35,GNI
2009,11,1140,522959.308,GNI
2009,12,1140,2222955.33,GNI
2009,18,1140,237920.27,GNI
2009,20,1140,10578.51,GNI
2009,21,1140,184655.0,GNI
2009,22,1140,39769.42,GNI
2009,40,1140,321595.88,GNI
2009,50,1140,1433701.43,GNI
2009,61,1140,47877.59,GNI
2009,68,1140,179629.58,GNI
2009,69,1140,87140.0,GNI
2009,75,1140,122778.88,GNI
2009,76,1140,419077.58,GNI
2009,301,1140,1319734.44,GNI
2009,302,1140,14011000.0,GNI
2009,701,1140,5180468.95,GNI
2009,742,1140,837240.76,GNI
2009,801,1140,940528.91,GNI
2009,820,1140,111365.09,GNI
2010,1,1140,374794.7,GNI
2010,2,1140,469576.16,GNI
2010,3,1140,315791.92,GNI
2010,4,1140,2606748.45,GNI
2010,5,1140,3357986.75,GNI
2010,6,1140,2023915.23,GNI
2010,7,1140,780172.18,GNI
2010,8,1140,415947.72,GNI
2010,9,1140,220963.84,GNI
2010,10,1140,467598.0,GNI
2010,11,1140,585186.943,GNI
2010,12,1140,2279589.19,GNI
2010,18,1140,242168.21,GNI
2010,20,1140,11120.52,GNI
2010,21,1140,171259.6,GNI
2010,22,1140,38477.83,GNI
2010,40,1140,296494.04,GNI
2010,50,1140,1388744.37,GNI
2010,61,1140,46216.8,GNI
2010,68,1140,179721.69,GNI
2010,69,1140,86279.0,GNI
2010,75,1140,123849.06,GNI
2010,76,1140,452364.9,GNI
2010,301,1140,1549596.19,GNI
2010,302,1140,14635600.0,GNI
2010,701,1140,5629294.92,GNI
2010,742,1140,1014584.44,GNI
2010,801,1140,1185552.19,GNI
2010,820,1140,134028.54,GNI
2011,1,1140,416045.61,GNI
2011,2,1140,523485.4,GNI
2011,3,1140,343981.61,GNI
2011,4,1140,2828439.93,GNI
2011,5,1140,3643534.48,GNI
2011,6,1140,2182612.63,GNI
2011,7,1140,842102.34,GNI
2011,8,1140,493406.49,GNI
2011,9,1140,229143.48,GNI
2011,10,1140,549972.0,GNI
2011,11,1140,665510.94,GNI
2011,12,1140,2459148.77,GNI
2011,18,1140,264729.0,GNI
2011,20,1140,12836.07,GNI
2011,21,1140,178394.05,GNI
2011,22,1140,42061.6,GNI
2011,40,1140,289546.72,GNI
2011,50,1140,1457356.79,GNI
2011,61,1140,48734.56,GNI
2011,68,1140,200934.29,GNI
2011,69,1140,94205.82,GNI
2011,75,1140,129699.89,GNI
2011,76,1140,495985.96,GNI
2011,301,1140,1707439.09,GNI
2011,302,1140,15211300.0,GNI
2011,701,1140,6088662.45,GNI
2011,742,1140,1117583.36,GNI
2011,801,1140,1450350.8,GNI
2011,820,1140,153609.44,GNI
2012,1,1140,394606.4,GNI
2012,2,1140,487750.64,GNI
2012,3,1140,324409.58,GNI
2012,4,1140,2657069.41,GNI
2012,5,1140,3480604.11,GNI
2012,6,1140,1998100.26,GNI
2012,7,1140,778192.31,GNI
2012,8,1140,511407.42,GNI
2012,9,1140,207031.61,GNI
2012,10,1140,538021.84,GNI
2012,11,1140,652777.35,GNI
2012,12,1140,2472134.71,GNI
2012,18,1140,247176.01,GNI
2012,20,1140,12880.65,GNI
2012,21,1140,172061.7,GNI
2012,22,1140,39752.01,GNI
2012,40,1140,250263.5,GNI
2012,50,1140,1307226.22,GNI
2012,61,1140,44898.53,GNI
2012,68,1140,182257.16,GNI
2012,69,1140,89925.56,GNI
2012,75,1140,119342.77,GNI
2012,76,1140,468274.8,GNI
2012,301,1140,1788787.03,GNI
2012,302,1140,16514500.0,GNI
2012,701,1140,6124543.94,GNI
2012,742,1140,1135477.07,GNI
2012,801,1140,1496885.09,GNI
