year,donor_code,flows_code,value,indicator
2000,1,1140,0.23,ODA GNI
2000,2,1140,0.36,ODA GNI
2000,3,1140,1.06,ODA GNI
2000,4,1140,0.3,ODA GNI
2000,5,1140,0.27,ODA GNI
2000,6,1140,0.13,ODA GNI
2000,7,1140,0.84,ODA GNI
2000,8,1140,0.76,ODA GNI
2000,9,1140,0.26,ODA GNI
2000,10,1140,0.8,ODA GNI
2000,11,1140,0.32,ODA GNI
2000,12,1140,0.32,ODA GNI
2000,18,1140,0.31,ODA GNI
2000,20,1140,0.1,ODA GNI
2000,21,1140,0.29,ODA GNI
2000,22,1140,0.7,ODA GNI
2000,40,1140,0.2,ODA GNI
2000,50,1140,0.22,ODA GNI
2000,68,1140,0.03,ODA GNI
2000,69,1140,0.03,ODA GNI
2000,76,1140,0.02,ODA GNI
2000,301,1140,0.25,ODA GNI
2000,302,1140,0.1,ODA GNI
2000,701,1140,0.28,ODA GNI
2000,742,1140,0.04,ODA GNI
2000,801,1140,0.27,ODA GNI
2000,820,1140,0.25,ODA GNI
2000,918,1140,,ODA GNI
2001,1,1140,0.34,ODA GNI
2001,2,1140,0.37,ODA GNI
2001,3,1140,1.03,ODA GNI
2001,4,1140,0.31,ODA GNI
2001,5,1140,0.27,ODA GNI
2001,6,1140,0.15,ODA GNI
2001,7,1140,0.82,ODA GNI
2001,8,1140,0.8,ODA GNI
2001,9,1140,0.25,ODA GNI
2001,10,1140,0.77,ODA GNI
2001,11,1140,0.33,ODA GNI
2001,12,1140,0.32,ODA GNI
2001,18,1140,0.32,ODA GNI
2001,20,1140,0.13,ODA GNI
2001,21,1140,0.33,ODA GNI
2001,22,1140,0.77,ODA GNI
2001,40,1140,0.17,ODA GNI
2001,50,1140,0.3,ODA GNI
2001,68,1140,0.05,ODA GNI
2001,69,1140,0.04,ODA GNI
2001,76,1140,0.02,ODA GNI
2001,84,1140,,ODA GNI
2001,301,1140,0.22,ODA GNI
2001,302,1140,0.11,ODA GNI
2001,701,1140,0.23,ODA GNI
2001,742,1140,0.06,ODA GNI
2001,801,1140,0.25,ODA GNI
2001,820,1140,0.25,ODA GNI
2001,918,1140,,ODA GNI
2002,1,1140,0.26,ODA GNI
2002,2,1140,0.43,ODA GNI
2002,3,1140,0.96,ODA GNI
2002,4,1140,0.37,ODA GNI
2002,5,1140,0.27,ODA GNI
2002,6,1140,0.2,ODA GNI
2002,7,1140,0.81,ODA GNI
2002,8,1140,0.89,ODA GNI
2002,9,1140,0.27,ODA GNI
2002,10,1140,0.84,ODA GNI
2002,11,1140,0.32,ODA GNI
2002,12,1140,0.31,ODA GNI
2002,18,1140,0.35,ODA GNI
2002,20,1140,0.15,ODA GNI
2002,21,1140,0.4,ODA GNI
2002,22,1140,0.78,ODA GNI
2002,40,1140,0.21,ODA GNI
2002,50,1140,0.26,ODA GNI
2002,68,1140,0.07,ODA GNI
2002,69,1140,0.02,ODA GNI
2002,76,1140,,ODA GNI
2002,84,1140,,ODA GNI
2002,301,1140,0.28,ODA GNI
2002,302,1140,0.13,ODA GNI
2002,701,1140,0.23,ODA GNI
2002,742,1140,0.05,ODA GNI
2002,801,1140,0.26,ODA GNI
2002,820,1140,0.22,ODA GNI
2002,918,1140,,ODA GNI
2003,1,1140,0.2,ODA GNI
2003,2,1140,0.6,ODA GNI
2003,3,1140,0.84,ODA GNI
2003,4,1140,0.4,ODA GNI
2003,5,1140,0.28,ODA GNI
2003,6,1140,0.17,ODA GNI
2003,7,1140,0.8,ODA GNI
2003,8,1140,0.92,ODA GNI
2003,9,1140,0.22,ODA GNI
2003,10,1140,0.79,ODA GNI
2003,11,1140,0.36,ODA GNI
2003,12,1140,0.34,ODA GNI
2003,18,1140,0.35,ODA GNI
2003,20,1140,0.17,ODA GNI
2003,21,1140,0.39,ODA GNI
2003,22,1140,0.86,ODA GNI
2003,40,1140,0.21,ODA GNI
2003,50,1140,0.23,ODA GNI
2003,68,1140,0.11,ODA GNI
2003,69,1140,0.05,ODA GNI
2003,75,1140,0.03,ODA GNI
2003,76,1140,0.01,ODA GNI
2003,84,1140,0.01,ODA GNI
2003,301,1140,0.24,ODA GNI
2003,302,1140,0.15,ODA GNI
2003,701,1140,0.2,ODA GNI
2003,742,1140,0.06,ODA GNI
2003,801,1140,0.25,ODA GNI
2003,820,1140,0.23,ODA GNI
2003,918,1140,,ODA GNI
2004,1,1140,0.23,ODA GNI
2004,2,1140,0.41,ODA GNI
2004,3,1140,0.85,ODA GNI
2004,4,1140,0.41,ODA GNI
2004,5,1140,0.28,ODA GNI
2004,6,1140,0.15,ODA GNI
2004,7,1140,0.73,ODA GNI
2004,8,1140,0.87,ODA GNI
2004,9,1140,0.63,ODA GNI
2004,10,1140,0.78,ODA GNI
2004,11,1140,0.39,ODA GNI
2004,12,1140,0.36,ODA GNI
2004,18,1140,0.37,ODA GNI
2004,20,1140,0.18,ODA GNI
2004,21,1140,0.39,ODA GNI
